id;pikk_mudel;kytus;kaigukast;alates;kuni
47470;"GS 300";B;A8;2007;2010
48853;"GS 300 Business Tech";B;A8;2008;2010
47473;"GS 300 Executive";B;A8;2007;2010
47473;"GS 300 Executive";B;A8;2007;2010
47472;"GS 300 President";B;A8;2007;2010
47475;"GS 460 Executive";B;A8;2007;2010
47474;"GS 460 President";B;A8;2007;2010
47474;"GS 460 President";B;A8;2007;2010
50871;"GS 450h Business";B;A1;2008;2012
50870;"GS 450h Business Tech";B;A1;2008;2012
47477;"GS 450h Executive";B;A1;2007;2012
47477;"GS 450h Executive";B;A1;2007;2012
47476;"GS 450h President";B;A1;2007;2012
