id;pikk_mudel;kytus;kaigukast;alates;kuni
57158;"IS 250";B;A6;2010;2013
62559;"IS 250 High Edition";B;A6;2011;2013
57160;"IS 250 Comfort Line";B;A6;2010;2013
57160;"IS 250 Comfort Line";B;A6;2010;2013
64227;"IS 250 Comfort Line Pro";B;A6;2012;2013
57162;"IS 250 Business Line";B;A6;2010;2013
64226;"IS 250 Business Line Pro";B;A6;2012;2013
64226;"IS 250 Business Line Pro";B;A6;2012;2013
57164;"IS 250 F-Sport Line";B;A6;2010;2013
57166;"IS 250 Luxury Line";B;A6;2010;2013
53527;"IS 250 Business";B;H6;2009;2010
53527;"IS 250 Business";B;H6;2009;2010
51281;"IS 250 Business";B;A6;2009;2010
53528;"IS 250 Business Style";B;H6;2009;2010
51290;"IS 250 Business Style";B;A6;2009;2010
51290;"IS 250 Business Style";B;A6;2009;2010
53529;"IS 250 Sport";B;H6;2009;2010
51283;"IS 250 Sport";B;A6;2009;2010
53530;"IS 250 Executive";B;H6;2009;2010
53530;"IS 250 Executive";B;H6;2009;2010
51284;"IS 250 Executive";B;A6;2009;2010
51285;"IS F";B;A8;2009;2013
57939;"IS 200d";D;H6;2010;2012
57939;"IS 200d";D;H6;2010;2012
57940;"IS 200d Comfort Line";D;H6;2010;2012
57941;"IS 200d Business Line";D;H6;2010;2012
57942;"IS 200d F-Sport Line";D;H6;2010;2012
57942;"IS 200d F-Sport Line";D;H6;2010;2012
57943;"IS 200d Luxury Line";D;H6;2010;2012
57159;"IS 220d";D;H6;2010;2012
57161;"IS 220d Comfort Line";D;H6;2010;2012
57161;"IS 220d Comfort Line";D;H6;2010;2012
57163;"IS 220d Business Line";D;H6;2010;2012
57165;"IS 220d F-Sport Line";D;H6;2010;2012
57167;"IS 220d Luxury Line";D;H6;2010;2012
57167;"IS 220d Luxury Line";D;H6;2010;2012
51288;"IS 220d Business";D;H6;2009;2010
51291;"IS 220d Business Style";D;H6;2009;2010
51287;"IS 220d Sport";D;H6;2009;2010
51287;"IS 220d Sport";D;H6;2009;2010
51286;"IS 220d Executive";D;H6;2009;2010
