id;pikk_mudel;kytus;kaigukast;alates;kuni
67780;"RX 450h 2WD Business Line";B;A1;2012;heden
67782;"RX 450h 2WD Luxury Line";B;A1;2012;heden
74681;"RX 450h 2WD Special Edition";B;A1;2013;heden
74681;"RX 450h 2WD Special Edition";B;A1;2013;heden
72175;"RX 450h Executive Edition";B;A1;2013;2014
67783;"RX 450h Luxury Line";B;A1;2012;heden
74682;"RX 450h Special Edition";B;A1;2013;heden
74682;"RX 450h Special Edition";B;A1;2013;heden
67785;"RX 450h F Sport Line";B;A1;2012;heden
67784;"RX 450h President Line";B;A1;2012;heden
