id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2552;6;"4-deurs sedan";2002;2005;389;6;25193
2555;6;"4-deurs sedan";2005;2007;389;6;28344
2843;6;"4-deurs sedan";2007;2010;389;6;46748
2878;6;"5-deurs hatchback";2008;2010;389;6;61048
3321;6;"4-deurs sedan";2010;2012;389;6;88555
3322;6;"5-deurs hatchback";2010;2012;389;6;108596
3894;6;"4-deurs sedan";2013;heden;389;6;137342
2553;"6 Sport";"5-deurs hatchback";2002;2005;389;6;25202
2556;"6 Sport";"5-deurs hatchback";2005;2007;389;6;28362
2554;"6 SportBreak";"5-deurs stationwagon";2002;2005;389;6;25209
2557;"6 SportBreak";"5-deurs stationwagon";2005;2007;389;6;28363
2879;"6 SportBreak";"5-deurs stationwagon";2008;2010;389;6;61052
3323;"6 SportBreak";"5-deurs stationwagon";2010;2012;389;6;108614
3895;"6 SportBreak";"5-deurs stationwagon";2012;heden;389;6;137363
