id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2597;MX-5;"2-deurs cabriolet";1990;1998;396;MX-5;19655
2598;MX-5;"2-deurs cabriolet";1998;2001;396;MX-5;22347
2599;MX-5;"2-deurs cabriolet";2001;2004;396;MX-5;24447
2600;MX-5;"2-deurs cabriolet";2004;2005;396;MX-5;27392
2601;MX-5;"2-deurs cabriolet";2005;2009;396;MX-5;28372
3202;MX-5;"2-deurs cabriolet";2009;2013;396;MX-5;67502
3921;MX-5;"2-deurs cabriolet";2013;heden;396;MX-5;153423
2602;"MX-5 Roadster Coupe";"2-deurs cabriolet";2006;2009;396;MX-5;34160
3203;"MX-5 Roadster Coupe";"2-deurs cabriolet";2009;2013;396;MX-5;59387
3922;"MX-5 Roadster Coupe";"2-deurs cabriolet";2013;heden;396;MX-5;153439
