id;pikk_mudel;kytus;kaigukast;alates;kuni
70368;"6 SkyActiv-G 2.0 145pk S";B;H6;2013;heden
70371;"6 SkyActiv-G 2.0 145pk TS";B;H6;2013;heden
73571;"6 SkyActiv-G 2.0 165pk TS+";B;H6;2013;heden
73571;"6 SkyActiv-G 2.0 165pk TS+";B;H6;2013;heden
70377;"6 SkyActiv-G 2.0 165pk TS+";B;A6;2013;heden
71250;"6 SkyActiv-G 2.0 165pk TS+ Lease Pack";B;H6;2013;2013
71249;"6 SkyActiv-G 2.0 165pk TS+ Lease Pack";B;A6;2013;2013
71249;"6 SkyActiv-G 2.0 165pk TS+ Lease Pack";B;A6;2013;2013
73572;"6 SkyActiv-G 2.0 165pk Skylease+";B;H6;2013;heden
73573;"6 SkyActiv-G 2.0 165pk Skylease+";B;A6;2013;heden
70373;"6 SkyActiv-G 2.0 165pk GT-M";B;H6;2013;heden
70373;"6 SkyActiv-G 2.0 165pk GT-M";B;H6;2013;heden
70375;"6 SkyActiv-G 2.5 192pk GT-M";B;A6;2013;heden
70379;"6 SkyActiv-D 2.2 150pk S";D;H6;2013;heden
70380;"6 SkyActiv-D 2.2 150pk TS";D;H6;2013;heden
70380;"6 SkyActiv-D 2.2 150pk TS";D;H6;2013;heden
73574;"6 SkyActiv-D 2.2 150pk Skylease";D;H6;2013;heden
70381;"6 SkyActiv-D 2.2 150pk TS+";D;H6;2013;heden
70383;"6 SkyActiv-D 2.2 150pk TS+";D;A6;2013;heden
70383;"6 SkyActiv-D 2.2 150pk TS+";D;A6;2013;heden
71251;"6 SkyActiv-D 2.2 150pk TS+ Lease Pack";D;H6;2013;2013
71252;"6 SkyActiv-D 2.2 150pk TS+ Lease Pack";D;A6;2013;2013
73575;"6 SkyActiv-D 2.2 150pk Skylease+";D;H6;2013;heden
73575;"6 SkyActiv-D 2.2 150pk Skylease+";D;H6;2013;heden
73576;"6 SkyActiv-D 2.2 150pk Skylease+";D;A6;2013;heden
70382;"6 SkyActiv-D 2.2 150pk GT-M";D;H6;2013;heden
70384;"6 SkyActiv-D 2.2 175pk GT-M";D;A6;2013;heden
70384;"6 SkyActiv-D 2.2 175pk GT-M";D;A6;2013;heden
