id;pikk_mudel;kytus;kaigukast;alates;kuni
5321;"626 Coupe 2.0i GLX";B;H5;1989;1993
3782;"626 Coupe 2.0-12V LX";B;H5;1987;1990
3783;"626 Coupe 2.0-12V GLX";B;H5;1987;1990
3783;"626 Coupe 2.0-12V GLX";B;H5;1987;1990
3784;"626 Coupe 2.0-12V GLX";B;A4;1987;1990
5322;"626 Coupe 2.2i GLX";B;H5;1989;1993
5323;"626 Coupe 2.2i GLX";B;A4;1989;1992
5323;"626 Coupe 2.2i GLX";B;A4;1989;1992
3785;"626 Coupe 2.0i-16V GT";B;H5;1987;1990
6338;"626 Coupe 2.0i-16V GT";B;H5;1990;1991
5324;"626 Coupe 2.0i-16V GT 4WS";B;H5;1989;1991
5324;"626 Coupe 2.0i-16V GT 4WS";B;H5;1989;1991
