id;pikk_mudel;kytus;kaigukast;alates;kuni
5327;200;B;H4;1989;1990
5328;200;B;A4;1989;1990
5329;"200 E";B;H4;1989;1992
5329;"200 E";B;H4;1989;1992
5330;"200 E";B;A4;1989;1992
7885;"200 E";B;H5;1992;1993
7886;"200 E";B;A4;1992;1993
7886;"200 E";B;A4;1992;1993
7887;"220 E";B;H5;1992;1993
7888;"220 E";B;A4;1992;1993
5331;"230 E";B;H4;1989;1992
5331;"230 E";B;H4;1989;1992
5332;"230 E";B;A4;1989;1992
5333;"260 E";B;H5;1989;1992
5334;"260 E";B;A4;1989;1992
5334;"260 E";B;A4;1989;1992
5335;"260 E 4Matic";B;A4;1989;1991
7889;"280 E";B;H5;1992;1993
7890;"280 E";B;A4;1992;1993
7890;"280 E";B;A4;1992;1993
5336;"300 E";B;H5;1989;1992
5337;"300 E";B;A4;1989;1992
5338;"300 E 4Matic";B;A4;1989;1993
5338;"300 E 4Matic";B;A4;1989;1993
5339;"300 E-24";B;H5;1989;1992
5340;"300 E-24";B;A4;1989;1992
7891;"320 E";B;H5;1992;1993
7891;"320 E";B;H5;1992;1993
7892;"320 E";B;A4;1992;1993
7893;"400 E";B;A4;1992;1993
6355;"500 E";B;A4;1990;1993
6355;"500 E";B;A4;1990;1993
5341;"200 D";D;H4;1989;1993
5342;"200 D";D;A4;1989;1993
5343;"250 D";D;H5;1989;1993
5343;"250 D";D;H5;1989;1993
5344;"250 D";D;A4;1989;1993
5345;"250 D Turbo";D;H5;1989;1993
5346;"250 D Turbo";D;A4;1989;1993
5346;"250 D Turbo";D;A4;1989;1993
5347;"300 D";D;H5;1989;1993
5348;"300 D";D;A4;1989;1993
5349;"300 D Turbo";D;A4;1989;1993
5349;"300 D Turbo";D;A4;1989;1993
5350;"300 D Turbo 4Matic";D;A4;1989;1993
