id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2635;C-klasse;"4-deurs sedan";1993;1995;409;C-klasse;20434
2636;C-klasse;"4-deurs sedan";1995;1997;409;C-klasse;21140
2638;C-klasse;"4-deurs sedan";1997;2000;409;C-klasse;21821
2640;C-klasse;"4-deurs sedan";2000;2004;409;C-klasse;23592
2644;C-klasse;"4-deurs sedan";2004;2007;409;C-klasse;27433
2646;C-klasse;"4-deurs sedan";2007;2011;409;C-klasse;38870
3487;C-klasse;"4-deurs sedan";2011;2014;409;C-klasse;99750
4082;C-klasse;"4-deurs sedan";2014;heden;409;C-klasse;162211
2637;"C-klasse Combi";"5-deurs stationwagon";1996;1997;409;C-klasse;21414
2639;"C-klasse Combi";"5-deurs stationwagon";1997;2000;409;C-klasse;21827
2642;"C-klasse Combi";"5-deurs stationwagon";2001;2004;409;C-klasse;24514
2645;"C-klasse Combi";"5-deurs stationwagon";2004;2007;409;C-klasse;27452
3529;"C-klasse Coupe";"2-deurs coupe";2011;heden;409;C-klasse;102339
2827;"C-klasse Estate";"5-deurs stationwagon";2007;2011;409;C-klasse;46247
3488;"C-klasse Estate";"5-deurs stationwagon";2011;heden;409;C-klasse;99746
2821;"C-klasse Sportcoupe";"3-deurs coupe";2004;2008;409;C-klasse;27443
2641;"C-klasse Sports Coupe";"3-deurs coupe";2001;2004;409;C-klasse;24504
2643;"C-klasse Sports Coupe";"3-deurs coupe";2004;heden;409;C-klasse;27443
