id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
2662;E-klasse;"4-deurs sedan";1993;1995;413;E-klasse;20439
2664;E-klasse;"4-deurs sedan";1995;1999;413;E-klasse;21145
2666;E-klasse;"4-deurs sedan";1999;2002;413;E-klasse;22969
2668;E-klasse;"4-deurs sedan";2002;2006;413;E-klasse;25253
2670;E-klasse;"4-deurs sedan";2006;2009;413;E-klasse;30443
3100;E-klasse;"4-deurs sedan";2009;2013;413;E-klasse;67496
3927;E-klasse;"4-deurs sedan";2013;heden;413;E-klasse;141297
2661;"E-klasse Cabriolet";"2-deurs cabriolet";1993;1996;413;E-klasse;20446
3299;"E-klasse Cabriolet";"2-deurs cabriolet";2010;2013;413;E-klasse;84737
3979;"E-klasse Cabriolet";"2-deurs cabriolet";2013;heden;413;E-klasse;141349
2663;"E-klasse Combi";"5-deurs stationwagon";1993;1996;413;E-klasse;20449
2665;"E-klasse Combi";"5-deurs stationwagon";1996;1999;413;E-klasse;21420
2667;"E-klasse Combi";"5-deurs stationwagon";1999;2002;413;E-klasse;22973
2669;"E-klasse Combi";"5-deurs stationwagon";2003;2006;413;E-klasse;26292
2671;"E-klasse Combi";"5-deurs stationwagon";2006;2009;413;E-klasse;30465
2660;"E-klasse Coupe";"2-deurs coupe";1993;1996;413;E-klasse;20443
3109;"E-klasse Coupe";"2-deurs coupe";2009;2013;413;E-klasse;67469
3980;"E-klasse Coupe";"2-deurs coupe";2013;heden;413;E-klasse;141361
3167;"E-klasse Estate";"5-deurs stationwagon";2009;2013;413;E-klasse;84715
3928;"E-klasse Estate";"5-deurs stationwagon";2013;heden;413;E-klasse;141332
