id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
18;SL-klasse;"2-deurs cabriolet";1980;1985;419;SL-klasse;0
19;SL-klasse;"2-deurs cabriolet";1985;1989;419;SL-klasse;0
20;SL-klasse;"2-deurs cabriolet";1989;1993;419;SL-klasse;19490
21;SL-klasse;"2-deurs cabriolet";1993;1995;419;SL-klasse;0
22;SL-klasse;"2-deurs cabriolet";1995;1998;419;SL-klasse;21152
23;SL-klasse;"2-deurs cabriolet";1998;2001;419;SL-klasse;22364
24;SL-klasse;"2-deurs cabriolet";2001;2006;419;SL-klasse;24532
25;SL-klasse;"2-deurs cabriolet";2006;2008;419;SL-klasse;29373
2934;SL-klasse;"2-deurs cabriolet";2008;2012;419;SL-klasse;54117
3631;SL-klasse;"2-deurs cabriolet";2012;heden;419;SL-klasse;120252
