id;pikk_mudel;kytus;kaigukast;alates;kuni
32950;"A 150 Classic";B;H5;2004;2008
35052;"A 150 Classic";B;A1;2005;2008
32949;"A 150 Elegance";B;H5;2004;2008
32949;"A 150 Elegance";B;H5;2004;2008
35053;"A 150 Elegance";B;A1;2005;2008
32948;"A 150 Avantgarde";B;H5;2004;2008
35054;"A 150 Avantgarde";B;A1;2005;2008
35054;"A 150 Avantgarde";B;A1;2005;2008
32947;"A 170 Classic";B;H5;2004;2008
35055;"A 170 Classic";B;A1;2005;2008
32946;"A 170 Elegance";B;H5;2004;2008
32946;"A 170 Elegance";B;H5;2004;2008
35056;"A 170 Elegance";B;A1;2005;2008
32952;"A 170 Avantgarde";B;H5;2004;2008
35057;"A 170 Avantgarde";B;A1;2005;2008
35057;"A 170 Avantgarde";B;A1;2005;2008
32955;"A 200 Classic";B;H5;2004;2008
35058;"A 200 Classic";B;A1;2005;2008
32954;"A 200 Elegance";B;H5;2004;2008
32954;"A 200 Elegance";B;H5;2004;2008
35059;"A 200 Elegance";B;A1;2005;2008
32953;"A 200 Avantgarde";B;H5;2004;2008
35060;"A 200 Avantgarde";B;A1;2005;2008
35060;"A 200 Avantgarde";B;A1;2005;2008
38558;"A 200 Turbo Elegance";B;H6;2005;2008
38557;"A 200 Turbo Elegance";B;A1;2005;2008
38556;"A 200 Turbo Avantgarde";B;H6;2005;2008
38556;"A 200 Turbo Avantgarde";B;H6;2005;2008
38555;"A 200 Turbo Avantgarde";B;A1;2005;2008
32958;"A 160 CDI Classic";D;H5;2004;2008
35061;"A 160 CDI Classic";D;A1;2005;2008
35061;"A 160 CDI Classic";D;A1;2005;2008
32957;"A 160 CDI Elegance";D;H5;2004;2008
35062;"A 160 CDI Elegance";D;A1;2005;2008
32956;"A 160 CDI Avantgarde";D;H5;2004;2008
32956;"A 160 CDI Avantgarde";D;H5;2004;2008
35063;"A 160 CDI Avantgarde";D;A1;2005;2008
32961;"A 180 CDI Classic";D;H6;2004;2008
35064;"A 180 CDI Classic";D;A1;2005;2008
35064;"A 180 CDI Classic";D;A1;2005;2008
32960;"A 180 CDI Elegance";D;H6;2004;2008
35065;"A 180 CDI Elegance";D;A1;2005;2008
32959;"A 180 CDI Avantgarde";D;H6;2004;2008
32959;"A 180 CDI Avantgarde";D;H6;2004;2008
35066;"A 180 CDI Avantgarde";D;A1;2005;2008
32963;"A 200 CDI Elegance";D;H6;2004;2008
35067;"A 200 CDI Elegance";D;A1;2005;2008
35067;"A 200 CDI Elegance";D;A1;2005;2008
32962;"A 200 CDI Avantgarde";D;H6;2004;2008
35068;"A 200 CDI Avantgarde";D;A1;2005;2008
