id;pikk_mudel;kytus;kaigukast;alates;kuni
31442;"C 180 Kompressor Classic Combi";B;H6;2004;2007
31450;"C 180 Kompressor Classic Combi";B;A5;2004;2007
31458;"C 180 Kompressor Elegance Combi";B;H6;2004;2007
31458;"C 180 Kompressor Elegance Combi";B;H6;2004;2007
31457;"C 180 Kompressor Elegance Combi";B;A5;2004;2007
31456;"C 180 Kompressor Avantgarde Combi";B;H6;2004;2007
31455;"C 180 Kompressor Avantgarde Combi";B;A5;2004;2007
31455;"C 180 Kompressor Avantgarde Combi";B;A5;2004;2007
31472;"C 200 Kompressor Classic Combi";B;H6;2004;2007
31471;"C 200 Kompressor Classic Combi";B;A5;2004;2007
31470;"C 200 Kompressor Elegance Combi";B;H6;2004;2007
31470;"C 200 Kompressor Elegance Combi";B;H6;2004;2007
31469;"C 200 Kompressor Elegance Combi";B;A5;2004;2007
31468;"C 200 Kompressor Avantgarde Combi";B;H6;2004;2007
31467;"C 200 Kompressor Avantgarde Combi";B;A5;2004;2007
31467;"C 200 Kompressor Avantgarde Combi";B;A5;2004;2007
31570;"C 230 Kompressor Classic Combi";B;H6;2004;2005
31569;"C 230 Kompressor Classic Combi";B;A5;2004;2005
31568;"C 230 Kompressor Elegance Combi";B;H6;2004;2005
31568;"C 230 Kompressor Elegance Combi";B;H6;2004;2005
31567;"C 230 Kompressor Elegance Combi";B;A5;2004;2005
31566;"C 230 Kompressor Avantgarde Combi";B;H6;2004;2005
31565;"C 230 Kompressor Avantgarde Combi";B;A5;2004;2005
31565;"C 230 Kompressor Avantgarde Combi";B;A5;2004;2005
36347;"C 230 Classic Combi";B;H6;2005;2007
36346;"C 230 Classic Combi";B;A7;2005;2007
36345;"C 230 Elegance Combi";B;H6;2005;2007
36345;"C 230 Elegance Combi";B;H6;2005;2007
36344;"C 230 Elegance Combi";B;A7;2005;2007
36343;"C 230 Avantgarde Combi";B;H6;2005;2007
36342;"C 230 Avantgarde Combi";B;A7;2005;2007
36342;"C 230 Avantgarde Combi";B;A7;2005;2007
31490;"C 240 Classic Combi";B;H6;2004;2005
31489;"C 240 Classic Combi";B;A5;2004;2005
31488;"C 240 Elegance Combi";B;H6;2004;2005
31488;"C 240 Elegance Combi";B;H6;2004;2005
31487;"C 240 Elegance Combi";B;A5;2004;2005
31486;"C 240 Avantgarde Combi";B;H6;2004;2005
31485;"C 240 Avantgarde Combi";B;A5;2004;2005
31485;"C 240 Avantgarde Combi";B;A5;2004;2005
31484;"C 240 4Matic Classic Combi";B;A5;2004;2005
31483;"C 240 4Matic Elegance Combi";B;A5;2004;2005
31482;"C 240 4Matic Avantgarde Combi";B;A5;2004;2005
31482;"C 240 4Matic Avantgarde Combi";B;A5;2004;2005
36356;"C 280 Classic Combi";B;H6;2005;2007
36355;"C 280 Classic Combi";B;A7;2005;2007
