id;pikk_mudel;kytus;kaigukast;alates;kuni
76369;"C 180";B;H6;2014;heden
76372;"C 180";B;A7;2014;heden
76377;"C 180 Ambition";B;H6;2014;heden
76377;"C 180 Ambition";B;H6;2014;heden
76378;"C 180 Ambition";B;A7;2014;heden
76383;"C 180 Prestige";B;H6;2014;heden
76384;"C 180 Prestige";B;A7;2014;heden
76384;"C 180 Prestige";B;A7;2014;heden
76389;"C 180 BlueEFFICIENCY Edition";B;H6;2014;heden
76392;"C 180 BlueEFFICIENCY Edition Prestige";B;H6;2014;heden
76374;"C 200";B;H6;2014;heden
76374;"C 200";B;H6;2014;heden
76373;"C 200";B;A7;2014;heden
76379;"C 200 Ambition";B;H6;2014;heden
76380;"C 200 Ambition";B;A7;2014;heden
76380;"C 200 Ambition";B;A7;2014;heden
76385;"C 200 Prestige";B;H6;2014;heden
76386;"C 200 Prestige";B;A7;2014;heden
76375;"C 220 BlueTEC";D;H6;2014;heden
76375;"C 220 BlueTEC";D;H6;2014;heden
76376;"C 220 BlueTEC";D;A7;2014;heden
76381;"C 220 BlueTEC Ambition";D;H6;2014;heden
76382;"C 220 BlueTEC Ambition";D;A7;2014;heden
76382;"C 220 BlueTEC Ambition";D;A7;2014;heden
76387;"C 220 BlueTEC Prestige";D;H6;2014;heden
76388;"C 220 BlueTEC Prestige";D;A7;2014;heden
76390;"C 220 BlueTEC BlueEFFICIENCY Edition";D;H6;2014;heden
76390;"C 220 BlueTEC BlueEFFICIENCY Edition";D;H6;2014;heden
76391;"C 220 BlueTEC BlueEFFICIENCY Edition";D;A7;2014;heden
76393;"C 220 BlueTEC BlueEFFICIENCY Edition Prestige";D;H6;2014;heden
76394;"C 220 BlueTEC BlueEFFICIENCY Edition Prestige";D;A7;2014;heden
76394;"C 220 BlueTEC BlueEFFICIENCY Edition Prestige";D;A7;2014;heden
