id;pikk_mudel;kytus;kaigukast;alates;kuni
71620;"CLA 180 BE";B;H6;2013;heden
71621;"CLA 180 BE Ambition";B;H6;2013;heden
71622;"CLA 180 BE Prestige";B;H6;2013;heden
71622;"CLA 180 BE Prestige";B;H6;2013;heden
74392;"CLA 180 BlueEFFICIENCY Edition";B;H6;2013;heden
71613;"CLA 180";B;H6;2013;heden
74387;"CLA 180";B;A7;2013;heden
74387;"CLA 180";B;A7;2013;heden
71623;"CLA 180 Ambition";B;H6;2013;heden
74388;"CLA 180 Ambition";B;A7;2013;heden
71624;"CLA 180 Prestige";B;H6;2013;heden
71624;"CLA 180 Prestige";B;H6;2013;heden
74389;"CLA 180 Prestige";B;A7;2013;heden
71616;"CLA 200";B;H6;2013;heden
71617;"CLA 200";B;A7;2013;heden
71617;"CLA 200";B;A7;2013;heden
71625;"CLA 200 Ambition";B;H6;2013;heden
71627;"CLA 200 Ambition";B;A7;2013;heden
71626;"CLA 200 Prestige";B;H6;2013;heden
71626;"CLA 200 Prestige";B;H6;2013;heden
71628;"CLA 200 Prestige";B;A7;2013;heden
71618;"CLA 250";B;A7;2013;heden
71629;"CLA 250 Ambition";B;A7;2013;heden
71629;"CLA 250 Ambition";B;A7;2013;heden
71630;"CLA 250 Prestige";B;A7;2013;heden
75441;"CLA 250 Sport";B;A7;2013;heden
75442;"CLA 250 Sport Ambition";B;A7;2013;heden
75442;"CLA 250 Sport Ambition";B;A7;2013;heden
75443;"CLA 250 Sport Prestige";B;A7;2013;heden
74390;"CLA 250 4MATIC";B;A7;2013;heden
75444;"CLA 250 4MATIC Sport";B;A7;2013;heden
75444;"CLA 250 4MATIC Sport";B;A7;2013;heden
74391;"CLA 45 AMG 4MATIC";B;A7;2013;heden
75435;"CLA 180 CDI";D;H6;2013;heden
75436;"CLA 180 CDI";D;A7;2013;heden
75436;"CLA 180 CDI";D;A7;2013;heden
75437;"CLA 180 CDI Ambition";D;H6;2013;heden
75438;"CLA 180 CDI Ambition";D;A7;2013;heden
75439;"CLA 180 CDI Prestige";D;H6;2013;heden
75439;"CLA 180 CDI Prestige";D;H6;2013;heden
75440;"CLA 180 CDI Prestige";D;A7;2013;heden
76395;"CLA 180 CDI BlueEFFICIENCY Edition";D;H6;2014;heden
76396;"CLA 180 CDI BlueEFFICIENCY Edition";D;A7;2014;heden
76396;"CLA 180 CDI BlueEFFICIENCY Edition";D;A7;2014;heden
73637;"CLA 200 CDI";D;H6;2013;heden
73634;"CLA 200 CDI";D;A7;2013;heden
73638;"CLA 200 CDI Ambition";D;H6;2013;heden
73638;"CLA 200 CDI Ambition";D;H6;2013;heden
73635;"CLA 200 CDI Ambition";D;A7;2013;heden
73639;"CLA 200 CDI Prestige";D;H6;2013;heden
73636;"CLA 200 CDI Prestige";D;A7;2013;heden
73636;"CLA 200 CDI Prestige";D;A7;2013;heden
74393;"CLA 200 CDI BlueEFFICIENCY Edition";D;H6;2013;2014
71619;"CLA 220 CDI";D;A7;2013;heden
71631;"CLA 220 CDI Ambition";D;A7;2013;heden
71631;"CLA 220 CDI Ambition";D;A7;2013;heden
71632;"CLA 220 CDI Prestige";D;A7;2013;heden
