id;pikk_mudel;kytus;kaigukast;alates;kuni
36229;"CLK 200 Kompressor Elegance";B;H6;2005;2006
36231;"CLK 200 Kompressor Elegance";B;A5;2005;2006
36253;"CLK 200 Kompressor Avantgarde";B;H6;2005;2006
36253;"CLK 200 Kompressor Avantgarde";B;H6;2005;2006
36252;"CLK 200 Kompressor Avantgarde";B;A5;2005;2006
44303;"CLK 200 Kompressor Elegance";B;H6;2006;2009
44304;"CLK 200 Kompressor Elegance";B;A5;2006;2009
44304;"CLK 200 Kompressor Elegance";B;A5;2006;2009
44305;"CLK 200 Kompressor Avantgarde";B;H6;2006;2009
44306;"CLK 200 Kompressor Avantgarde";B;A5;2006;2009
36234;"CLK 280 Elegance";B;H6;2005;2009
36234;"CLK 280 Elegance";B;H6;2005;2009
36233;"CLK 280 Elegance";B;A7;2005;2009
36255;"CLK 280 Avantgarde";B;H6;2005;2009
36254;"CLK 280 Avantgarde";B;A7;2005;2009
36254;"CLK 280 Avantgarde";B;A7;2005;2009
36237;"CLK 350 Elegance";B;A7;2005;2009
36256;"CLK 350 Avantgarde";B;A7;2005;2009
36239;"CLK 500 Elegance";B;A7;2005;2006
36239;"CLK 500 Elegance";B;A7;2005;2006
36257;"CLK 500 Avantgarde";B;A7;2005;2006
42489;"CLK 500 Elegance";B;A7;2006;2009
42490;"CLK 500 Avantgarde";B;A7;2006;2009
42490;"CLK 500 Avantgarde";B;A7;2006;2009
36241;"CLK 55 AMG";B;A5;2005;2006
42491;"CLK 63 AMG";B;A7;2006;2009
36243;"CLK 220 CDI Elegance";D;H6;2005;2009
36243;"CLK 220 CDI Elegance";D;H6;2005;2009
36246;"CLK 220 CDI Elegance";D;A5;2005;2009
36259;"CLK 220 CDI Avantgarde";D;H6;2005;2009
36258;"CLK 220 CDI Avantgarde";D;A5;2005;2009
36258;"CLK 220 CDI Avantgarde";D;A5;2005;2009
36248;"CLK 320 CDI Elegance";D;H6;2005;2009
36247;"CLK 320 CDI Elegance";D;A7;2005;2009
36261;"CLK 320 CDI Avantgarde";D;H6;2005;2009
36261;"CLK 320 CDI Avantgarde";D;H6;2005;2009
36260;"CLK 320 CDI Avantgarde";D;A7;2005;2009
