id;pikk_mudel;kytus;kaigukast;alates;kuni
59183;"CLS 350";B;A7;2010;heden
62467;"CLS 500";B;A7;2011;heden
62468;"CLS 500 4Matic";B;A7;2011;heden
62468;"CLS 500 4Matic";B;A7;2011;heden
62469;"CLS 63 AMG";B;A7;2011;2013
73708;"CLS 63 AMG";B;A7;2013;heden
73709;"CLS 63 AMG 4Matic";B;A7;2013;heden
73709;"CLS 63 AMG 4Matic";B;A7;2013;heden
73710;"CLS 63 AMG S 4Matic";B;A7;2013;heden
59641;"CLS 250 CDI";D;A7;2010;heden
59182;"CLS 350 CDI";D;A7;2010;heden
59182;"CLS 350 CDI";D;A7;2010;heden
62466;"CLS 350 CDI 4Matic";D;A7;2011;heden
73711;"CLS 350 BlueTEC";D;A7;2013;heden
73712;"CLS 350 BlueTEC 4Matic";D;A7;2013;heden
73712;"CLS 350 BlueTEC 4Matic";D;A7;2013;heden
