id;pikk_mudel;kytus;kaigukast;alates;kuni
8888;"E 200 Combi";B;H5;1993;1996
8889;"E 200 Combi";B;A4;1993;1996
8890;"E 220 Combi";B;H5;1993;1996
8890;"E 220 Combi";B;H5;1993;1996
8891;"E 220 Combi";B;A4;1993;1996
8892;"E 280 Combi";B;H5;1993;1996
8893;"E 280 Combi";B;A4;1993;1996
8893;"E 280 Combi";B;A4;1993;1996
8894;"E 300 4Matic Combi";B;A4;1993;1995
8895;"E 320 Combi";B;H5;1993;1996
8896;"E 320 Combi";B;A4;1993;1996
8896;"E 320 Combi";B;A4;1993;1996
10075;"E 36 AMG Combi";B;A4;1994;1996
8897;"E 250 Diesel Combi";D;H5;1993;1996
8898;"E 250 Diesel Combi";D;A4;1993;1996
8898;"E 250 Diesel Combi";D;A4;1993;1996
8899;"E 300 Diesel Combi";D;H5;1993;1996
8900;"E 300 Diesel Combi";D;A4;1993;1996
8901;"E 300 Turbo Diesel Combi";D;A4;1993;1996
8901;"E 300 Turbo Diesel Combi";D;A4;1993;1996
8902;"E 300 Turbo Diesel 4Matic Combi";D;A4;1993;1995
