id;pikk_mudel;kytus;kaigukast;alates;kuni
21127;"G 320 Stationwagon Kort";B;A5;2000;2006
21128;"G 500 Stationwagon Kort";B;A5;2000;2006
43246;"G 500 Stationwagon Kort";B;A7;2006;2012
43246;"G 500 Stationwagon Kort";B;A7;2006;2012
64525;"G 500 Stationwagon Kort BA3 Final Edition";B;A7;2012;2012
25564;"G 270 CDI Stationwagon Kort";D;A5;2002;2006
43211;"G 320 CDI Stationwagon Kort";D;A7;2006;2009
43211;"G 320 CDI Stationwagon Kort";D;A7;2006;2009
53464;"G 350 CDI Stationwagon Kort";D;A7;2009;2011
58031;"G 350 CDI BlueTEC Stationwagon Kort";D;A7;2010;2012
64526;"G 350 CDI BlueTEC Stationwagon Kort BA3 Final Edit";D;A7;2012;2012
64526;"G 350 CDI BlueTEC Stationwagon Kort BA3 Final Edit";D;A7;2012;2012
21129;"G 400 CDI Stationwagon Kort";D;A5;2000;2006
