id;pikk_mudel;kytus;kaigukast;alates;kuni
49531;"GLK 280 4Matic";B;A7;2008;2009
54276;"GLK 300 4Matic";B;A7;2009;2011
49533;"GLK 350 4Matic";B;A7;2008;2011
49533;"GLK 350 4Matic";B;A7;2008;2011
64527;"GLK 350 BlueEFFICIENCY 4Matic";B;A7;2011;2012
57571;"GLK 200 CDI BlueEFFICIENCY";D;H6;2010;2011
57572;"GLK 200 CDI BlueEFFICIENCY";D;A7;2010;2011
57572;"GLK 200 CDI BlueEFFICIENCY";D;A7;2010;2011
64528;"GLK 200 CDI BlueEFFICIENCY";D;H6;2011;2012
64529;"GLK 200 CDI BlueEFFICIENCY";D;A7;2011;2012
54278;"GLK 220 CDI BlueEFFICIENCY";D;H6;2009;2011
54278;"GLK 220 CDI BlueEFFICIENCY";D;H6;2009;2011
54277;"GLK 220 CDI BlueEFFICIENCY";D;A7;2009;2011
64530;"GLK 220 CDI BlueEFFICIENCY";D;H6;2011;2012
64531;"GLK 220 CDI BlueEFFICIENCY";D;A7;2011;2012
64531;"GLK 220 CDI BlueEFFICIENCY";D;A7;2011;2012
49534;"GLK 220 CDI 4Matic BlueEFFICIENCY";D;A7;2008;2011
64532;"GLK 220 CDI 4Matic BlueEFFICIENCY";D;A7;2011;2012
54940;"GLK 250 CDI 4Matic BlueEFFICIENCY";D;A7;2010;2011
54940;"GLK 250 CDI 4Matic BlueEFFICIENCY";D;A7;2010;2011
64533;"GLK 250 CDI 4Matic BlueEFFICIENCY";D;A7;2011;2012
49535;"GLK 320 CDI 4Matic";D;A7;2008;2009
54279;"GLK 350 CDI 4Matic";D;A7;2009;2012
54279;"GLK 350 CDI 4Matic";D;A7;2009;2012
