id;pikk_mudel;kytus;kaigukast;alates;kuni
50386;"ML 350 4Matic";B;A7;2008;2011
50388;"ML 500 4Matic";B;A7;2008;2011
50389;"ML 63 AMG";B;A7;2008;2011
50389;"ML 63 AMG";B;A7;2008;2011
50392;"ML 280 CDI 4Matic";D;A7;2008;2009
53111;"ML 300 CDI BlueEFFICIENCY 4Matic";D;A7;2009;2011
60811;"ML 300 CDI BlueEFFICIENCY 4Matic";D;A7;2011;2011
60811;"ML 300 CDI BlueEFFICIENCY 4Matic";D;A7;2011;2011
50391;"ML 320 CDI 4Matic";D;A7;2008;2009
53112;"ML 350 CDI 4Matic";D;A7;2009;2011
60812;"ML 350 CDI 4Matic";D;A7;2011;2011
60812;"ML 350 CDI 4Matic";D;A7;2011;2011
54945;"ML 350 CDI BlueTEC 4Matic";D;A7;2010;2011
50390;"ML 420 CDI 4Matic";D;A7;2008;2009
53113;"ML 450 CDI 4Matic";D;A7;2009;2011
53113;"ML 450 CDI 4Matic";D;A7;2009;2011
