id;pikk_mudel;kytus;kaigukast;alates;kuni
57578;"R 300";B;A7;2010;2012
57580;"R 300 Lang";B;A7;2010;2012
57582;"R 350 4Matic";B;A7;2010;2013
57582;"R 350 4Matic";B;A7;2010;2013
57581;"R 350 4Matic Lang";B;A7;2010;2013
57583;"R 500 4Matic Lang";B;A7;2010;2013
57584;"R 300 CDI BlueEFFICIENCY";D;A7;2010;2013
57584;"R 300 CDI BlueEFFICIENCY";D;A7;2010;2013
57587;"R 350 CDI 4Matic";D;A7;2010;2013
57586;"R 350 CDI 4Matic Lang";D;A7;2010;2013
57585;"R 350 BlueTec 4Matic Lang";D;A7;2010;2013
57585;"R 350 BlueTec 4Matic Lang";D;A7;2010;2013
