id;pikk_mudel;kytus;kaigukast;alates;kuni
1958;"260 SE";B;H5;1985;1989
1959;"260 SE";B;A4;1985;1989
2734;"260 SE";B;H5;1986;1991
2734;"260 SE";B;H5;1986;1991
2735;"260 SE";B;A4;1986;1991
1960;"300 SE";B;H5;1985;1989
1961;"300 SE";B;A4;1985;1989
1961;"300 SE";B;A4;1985;1989
2736;"300 SE";B;H5;1986;1991
2737;"300 SE";B;A4;1986;1991
1962;"300 SEL";B;H5;1985;1989
1962;"300 SEL";B;H5;1985;1989
1963;"300 SEL";B;A4;1985;1989
2738;"300 SEL";B;H5;1986;1991
2739;"300 SEL";B;A4;1986;1991
2739;"300 SEL";B;A4;1986;1991
1964;"420 SE";B;A4;1985;1987
2740;"420 SE";B;A4;1986;1987
1965;"420 SEL";B;A4;1985;1987
1965;"420 SEL";B;A4;1985;1987
2741;"420 SEL";B;A4;1986;1987
3818;"420 SE";B;A4;1987;1989
3819;"420 SE";B;A4;1987;1991
3819;"420 SE";B;A4;1987;1991
3820;"420 SEL";B;A4;1987;1989
3821;"420 SEL";B;A4;1987;1991
1966;"500 SE";B;A4;1985;1987
1966;"500 SE";B;A4;1985;1987
2742;"500 SE";B;A4;1986;1987
1967;"500 SEL";B;A4;1985;1987
2743;"500 SEL";B;A4;1986;1987
2743;"500 SEL";B;A4;1986;1987
3822;"500 SE";B;A4;1987;1989
3823;"500 SE";B;A4;1987;1991
3824;"500 SEL";B;A4;1987;1989
3824;"500 SEL";B;A4;1987;1989
3825;"500 SEL";B;A4;1987;1991
4486;"560 SE";B;A4;1988;1989
4487;"560 SE";B;A4;1988;1991
4487;"560 SE";B;A4;1988;1991
2744;"560 SEL";B;A4;1986;1987
1968;"560 SEL";B;A4;1985;1989
3826;"560 SEL";B;A4;1987;1991
3826;"560 SEL";B;A4;1987;1991
