id;pikk_mudel;kytus;kaigukast;alates;kuni
48490;"SLK 200 Kompressor";B;H6;2008;2011
48493;"SLK 200 Kompressor";B;A5;2008;2011
48500;"SLK 200 Kompressor Prestige";B;H6;2008;2011
48500;"SLK 200 Kompressor Prestige";B;H6;2008;2011
48499;"SLK 200 Kompressor Prestige";B;A5;2008;2011
48507;"SLK 200 Kompressor Prestige Plus";B;H6;2008;2011
48506;"SLK 200 Kompressor Prestige Plus";B;A5;2008;2011
48506;"SLK 200 Kompressor Prestige Plus";B;A5;2008;2011
54949;"SLK 200 Kompressor Cruel Summer Edition";B;H6;2009;2011
54950;"SLK 200 Kompressor Cruel Summer Edition";B;A5;2009;2011
48492;"SLK 280";B;H6;2008;2009
48492;"SLK 280";B;H6;2008;2009
48494;"SLK 280";B;A7;2008;2009
48502;"SLK 280 Prestige";B;H6;2008;2009
48501;"SLK 280 Prestige";B;A7;2008;2009
48501;"SLK 280 Prestige";B;A7;2008;2009
48509;"SLK 280 Prestige Plus";B;H6;2008;2009
48508;"SLK 280 Prestige Plus";B;A7;2008;2009
53014;"SLK 300";B;H6;2009;2011
53014;"SLK 300";B;H6;2009;2011
53015;"SLK 300";B;A7;2009;2011
53016;"SLK 300 Prestige";B;H6;2009;2011
53017;"SLK 300 Prestige";B;A7;2009;2011
53017;"SLK 300 Prestige";B;A7;2009;2011
53018;"SLK 300 Prestige Plus";B;H6;2009;2011
53019;"SLK 300 Prestige Plus";B;A7;2009;2011
54951;"SLK 300 Cruel Summer Edition";B;H6;2009;2011
54951;"SLK 300 Cruel Summer Edition";B;H6;2009;2011
54952;"SLK 300 Cruel Summer Edition";B;A7;2009;2011
48497;"SLK 350";B;H6;2008;2011
48496;"SLK 350";B;A7;2008;2011
48496;"SLK 350";B;A7;2008;2011
48504;"SLK 350 Prestige";B;H6;2008;2011
48503;"SLK 350 Prestige";B;A7;2008;2011
48511;"SLK 350 Prestige Plus";B;H6;2008;2011
48511;"SLK 350 Prestige Plus";B;H6;2008;2011
48510;"SLK 350 Prestige Plus";B;A7;2008;2011
54953;"SLK 350 Cruel Summer Edition";B;H6;2009;2011
54954;"SLK 350 Cruel Summer Edition";B;A7;2009;2011
54954;"SLK 350 Cruel Summer Edition";B;A7;2009;2011
48495;"SLK 55 AMG";B;A7;2008;2011
48505;"SLK 55 AMG Prestige";B;A7;2008;2011
48512;"SLK 55 AMG Prestige Plus";B;A7;2008;2011
48512;"SLK 55 AMG Prestige Plus";B;A7;2008;2011
