id;pikk_mudel;kytus;kaigukast;alates;kuni
65248;"Viano Kort CDI 2.0 Trend Functional";D;H6;2010;heden
65250;"Viano Kort CDI 2.0 Trend Functional";D;A5;2010;heden
65256;"Viano Kort CDI 2.0 Trend";D;H6;2010;heden
65256;"Viano Kort CDI 2.0 Trend";D;H6;2010;heden
65257;"Viano Kort CDI 2.0 Trend";D;A5;2010;heden
65258;"Viano Kort CDI 2.0 Ambiente";D;H6;2010;heden
65259;"Viano Kort CDI 2.0 Ambiente";D;A5;2010;heden
65259;"Viano Kort CDI 2.0 Ambiente";D;A5;2010;heden
65254;"Viano Kort CDI 2.0 4Matic Trend";D;A5;2010;heden
65260;"Viano Kort CDI 2.0 4Matic Ambiente";D;A5;2010;heden
65252;"Viano Kort CDI 2.2 Trend";D;H6;2010;heden
65252;"Viano Kort CDI 2.2 Trend";D;H6;2010;heden
65251;"Viano Kort CDI 2.2 Trend";D;A5;2010;heden
65267;"Viano Kort CDI 2.2 Trend Edition";D;A5;2010;heden
65261;"Viano Kort CDI 2.2 Ambiente";D;H6;2010;heden
65261;"Viano Kort CDI 2.2 Ambiente";D;H6;2010;heden
65262;"Viano Kort CDI 2.2 Ambiente";D;A5;2010;heden
65268;"Viano Kort CDI 2.2 Ambiente Edition";D;A5;2010;heden
69813;"Viano Kort CDI 2.2 Avantgarde";D;H6;2012;2013
69813;"Viano Kort CDI 2.2 Avantgarde";D;H6;2012;2013
69817;"Viano Kort CDI 2.2 Avantgarde";D;A5;2012;heden
65255;"Viano Kort CDI 2.2 4Matic Trend";D;A5;2010;heden
65266;"Viano Kort CDI 2.2 4Matic Trend Edition";D;A5;2010;heden
65266;"Viano Kort CDI 2.2 4Matic Trend Edition";D;A5;2010;heden
65263;"Viano Kort CDI 2.2 4Matic Ambiente";D;A5;2010;heden
65269;"Viano Kort CDI 2.2 4Matic Ambiente Edition";D;A5;2010;heden
69823;"Viano Kort CDI 2.2 4Matic Avantgarde";D;A5;2012;2013
69823;"Viano Kort CDI 2.2 4Matic Avantgarde";D;A5;2012;2013
65253;"Viano Kort CDI 3.0 Trend";D;A5;2010;heden
65271;"Viano Kort CDI 3.0 Trend Edition";D;A5;2010;heden
65264;"Viano Kort CDI 3.0 Ambiente";D;A5;2010;heden
65264;"Viano Kort CDI 3.0 Ambiente";D;A5;2010;heden
65270;"Viano Kort CDI 3.0 Ambiente Edition";D;A5;2010;heden
69820;"Viano Kort CDI 3.0 Avantgarde";D;A5;2012;heden
65273;"Viano Lang CDI 2.0 Trend Functional";D;H6;2010;heden
65273;"Viano Lang CDI 2.0 Trend Functional";D;H6;2010;heden
65272;"Viano Lang CDI 2.0 Trend Functional";D;A5;2010;heden
65277;"Viano Lang CDI 2.0 Trend";D;H6;2010;heden
65276;"Viano Lang CDI 2.0 Trend";D;A5;2010;heden
65276;"Viano Lang CDI 2.0 Trend";D;A5;2010;heden
65275;"Viano Lang CDI 2.0 Ambiente";D;H6;2010;heden
65274;"Viano Lang CDI 2.0 Ambiente";D;A5;2010;heden
65279;"Viano Lang CDI 2.0 4Matic Trend";D;A5;2010;heden
65279;"Viano Lang CDI 2.0 4Matic Trend";D;A5;2010;heden
65278;"Viano Lang CDI 2.0 4Matic Ambiente";D;A5;2010;heden
65282;"Viano Lang CDI 2.2 Trend";D;H6;2010;heden
65281;"Viano Lang CDI 2.2 Trend";D;A5;2010;heden
65281;"Viano Lang CDI 2.2 Trend";D;A5;2010;heden
65280;"Viano Lang CDI 2.2 Trend Edition";D;A5;2010;heden
65285;"Viano Lang CDI 2.2 Ambiente";D;H6;2010;heden
65284;"Viano Lang CDI 2.2 Ambiente";D;A5;2010;heden
