id;pikk_mudel;kytus;kaigukast;alates;kuni
65912;"Vito Kort 110 CDI Crew";D;H6;2010;heden
65887;"Vito Kort 110 CDI";D;H6;2010;heden
65913;"Vito Kort 113 CDI Crew";D;H6;2010;heden
65913;"Vito Kort 113 CDI Crew";D;H6;2010;heden
65889;"Vito Kort 113 CDI";D;H6;2010;heden
65890;"Vito Kort 113 CDI";D;A5;2010;heden
65891;"Vito Kort 113 CDI 4x4";D;A5;2010;heden
65891;"Vito Kort 113 CDI 4x4";D;A5;2010;heden
65894;"Vito Kort 116 CDI";D;H6;2010;heden
65893;"Vito Kort 116 CDI";D;A5;2010;heden
65892;"Vito Kort 116 CDI 4x4";D;A5;2010;heden
65892;"Vito Kort 116 CDI 4x4";D;A5;2010;heden
65895;"Vito Kort 122 CDI";D;A5;2010;heden
65914;"Vito Lang 110 CDI Crew";D;H6;2010;heden
65903;"Vito Lang 110 CDI";D;H6;2010;heden
65903;"Vito Lang 110 CDI";D;H6;2010;heden
65915;"Vito Lang 113 CDI Crew";D;H6;2010;heden
65902;"Vito Lang 113 CDI";D;H6;2010;heden
65901;"Vito Lang 113 CDI";D;A5;2010;heden
65901;"Vito Lang 113 CDI";D;A5;2010;heden
65900;"Vito Lang 113 CDI 4x4";D;A5;2010;heden
65899;"Vito Lang 116 CDI";D;H6;2010;heden
65898;"Vito Lang 116 CDI";D;A5;2010;heden
65898;"Vito Lang 116 CDI";D;A5;2010;heden
65897;"Vito Lang 116 CDI 4x4";D;A5;2010;heden
65896;"Vito Lang 122 CDI";D;A5;2010;heden
65911;"Vito Extra Lang 110 CDI";D;H6;2010;heden
65911;"Vito Extra Lang 110 CDI";D;H6;2010;heden
65910;"Vito Extra Lang 113 CDI";D;H6;2010;heden
65909;"Vito Extra Lang 113 CDI";D;A5;2010;heden
65908;"Vito Extra Lang 113 CDI 4x4";D;A5;2010;heden
65908;"Vito Extra Lang 113 CDI 4x4";D;A5;2010;heden
65907;"Vito Extra Lang 116 CDI";D;H6;2010;heden
65906;"Vito Extra Lang 116 CDI";D;A5;2010;heden
65905;"Vito Extra Lang 116 CDI 4x4";D;A5;2010;heden
65905;"Vito Extra Lang 116 CDI 4x4";D;A5;2010;heden
65904;"Vito Extra Lang 122 CDI";D;A5;2010;heden
