id;pikk_mudel;kytus;kaigukast;alates;kuni
52175;"Clubman One";B;H6;2009;2010
52176;"Clubman One";B;A6;2009;2010
53939;"Clubman One Anniversary";B;H6;2009;2009
53939;"Clubman One Anniversary";B;H6;2009;2009
53940;"Clubman One Anniversary";B;A6;2009;2009
54561;"Clubman One Anniversary Mk II";B;H6;2009;2010
54562;"Clubman One Anniversary Mk II";B;A6;2009;2010
54562;"Clubman One Anniversary Mk II";B;A6;2009;2010
52177;"Clubman One Salt";B;H6;2009;2010
52179;"Clubman One Salt";B;A6;2009;2010
52178;"Clubman One Pepper";B;H6;2009;2010
52178;"Clubman One Pepper";B;H6;2009;2010
52180;"Clubman One Pepper";B;A6;2009;2010
55746;"Clubman One";B;H6;2010;2010
55747;"Clubman One";B;A6;2010;2010
55747;"Clubman One";B;A6;2010;2010
55748;"Clubman One Salt";B;H6;2010;2010
55749;"Clubman One Salt";B;A6;2010;2010
55750;"Clubman One Pepper";B;H6;2010;2010
55750;"Clubman One Pepper";B;H6;2010;2010
55751;"Clubman One Pepper";B;A6;2010;2010
46820;"Clubman Cooper";B;H6;2007;2010
46822;"Clubman Cooper";B;A6;2007;2010
46822;"Clubman Cooper";B;A6;2007;2010
46824;"Clubman Cooper Pepper";B;H6;2007;2010
46823;"Clubman Cooper Pepper";B;A6;2007;2010
46826;"Clubman Cooper Chili";B;H6;2007;2010
46826;"Clubman Cooper Chili";B;H6;2007;2010
46825;"Clubman Cooper Chili";B;A6;2007;2010
55752;"Clubman Cooper";B;H6;2010;2010
55753;"Clubman Cooper";B;A6;2010;2010
55753;"Clubman Cooper";B;A6;2010;2010
55754;"Clubman Cooper Pepper";B;H6;2010;2010
55755;"Clubman Cooper Pepper";B;A6;2010;2010
55756;"Clubman Cooper Chili";B;H6;2010;2010
55756;"Clubman Cooper Chili";B;H6;2010;2010
55757;"Clubman Cooper Chili";B;A6;2010;2010
46831;"Clubman Cooper D";D;H6;2007;2010
46834;"Clubman Cooper D";D;A6;2007;2010
46834;"Clubman Cooper D";D;A6;2007;2010
46830;"Clubman Cooper D Pepper";D;H6;2007;2010
46835;"Clubman Cooper D Pepper";D;A6;2007;2010
46829;"Clubman Cooper D Chili";D;H6;2007;2010
46829;"Clubman Cooper D Chili";D;H6;2007;2010
46836;"Clubman Cooper D Chili";D;A6;2007;2010
46828;"Clubman Cooper S";B;H6;2007;2010
46832;"Clubman Cooper S";B;A6;2007;2010
46832;"Clubman Cooper S";B;A6;2007;2010
46827;"Clubman Cooper S Chili";B;H6;2007;2010
46833;"Clubman Cooper S Chili";B;A6;2007;2010
55758;"Clubman Cooper S";B;H6;2010;2010
55758;"Clubman Cooper S";B;H6;2010;2010
55759;"Clubman Cooper S";B;A6;2010;2010
55760;"Clubman Cooper S Chili";B;H6;2010;2010
55761;"Clubman Cooper S Chili";B;A6;2010;2010
55761;"Clubman Cooper S Chili";B;A6;2010;2010
50305;"Clubman Cooper S John Cooper Works";B;H6;2008;2010
50306;"Clubman Cooper S John Cooper Works Chili";B;H6;2008;2010
