id;pikk_mudel;kytus;kaigukast;alates;kuni
58127;"Clubman One";B;H6;2010;2012
64160;"Clubman One";B;H6;2012;heden
58126;"Clubman One";B;A6;2010;heden
58126;"Clubman One";B;A6;2010;heden
58133;"Clubman One Salt";B;H6;2010;2012
58132;"Clubman One Salt";B;A6;2010;2012
58135;"Clubman One Pepper";B;H6;2010;2012
58135;"Clubman One Pepper";B;H6;2010;2012
58134;"Clubman One Pepper";B;A6;2010;2012
58152;"Clubman One Chili";B;H6;2010;2012
58151;"Clubman One Chili";B;A6;2010;2012
58151;"Clubman One Chili";B;A6;2010;2012
58144;"Clubman One D";D;H6;2010;heden
58156;"Clubman One D Salt";D;H6;2010;2012
58148;"Clubman One D Pepper";D;H6;2010;2012
58148;"Clubman One D Pepper";D;H6;2010;2012
58146;"Clubman One D Chili";D;H6;2010;2012
58129;"Clubman Cooper";B;H6;2010;heden
58128;"Clubman Cooper";B;A6;2010;heden
58128;"Clubman Cooper";B;A6;2010;heden
58154;"Clubman Cooper Salt";B;H6;2010;2012
58153;"Clubman Cooper Salt";B;A6;2010;2012
58137;"Clubman Cooper Pepper";B;H6;2010;2012
58137;"Clubman Cooper Pepper";B;H6;2010;2012
58136;"Clubman Cooper Pepper";B;A6;2010;2012
58139;"Clubman Cooper Chili";B;H6;2010;2012
58138;"Clubman Cooper Chili";B;A6;2010;2012
58138;"Clubman Cooper Chili";B;A6;2010;2012
60750;"Clubman Cooper Hampton";B;H6;2011;2012
60751;"Clubman Cooper Hampton";B;A6;2011;2012
58145;"Clubman Cooper D";D;H6;2010;heden
58145;"Clubman Cooper D";D;H6;2010;heden
60738;"Clubman Cooper D";D;A6;2011;heden
58155;"Clubman Cooper D Salt";D;H6;2010;2012
60739;"Clubman Cooper D Salt";D;A6;2011;2012
60739;"Clubman Cooper D Salt";D;A6;2011;2012
58149;"Clubman Cooper D Pepper";D;H6;2010;2012
60740;"Clubman Cooper D Pepper";D;A6;2011;2012
58147;"Clubman Cooper D Chili";D;H6;2010;2012
58147;"Clubman Cooper D Chili";D;H6;2010;2012
60741;"Clubman Cooper D Chili";D;A6;2011;2012
60752;"Clubman Cooper D Hampton";D;H6;2011;2012
60753;"Clubman Cooper D Hampton";D;A6;2011;2012
60753;"Clubman Cooper D Hampton";D;A6;2011;2012
58131;"Clubman Cooper S";B;H6;2010;heden
58130;"Clubman Cooper S";B;A6;2010;heden
58158;"Clubman Cooper S Salt";B;H6;2010;2012
58158;"Clubman Cooper S Salt";B;H6;2010;2012
58157;"Clubman Cooper S Salt";B;A6;2010;2012
58160;"Clubman Cooper S Pepper";B;H6;2010;2012
58159;"Clubman Cooper S Pepper";B;A6;2010;2012
58159;"Clubman Cooper S Pepper";B;A6;2010;2012
58141;"Clubman Cooper S Chili";B;H6;2010;2012
58140;"Clubman Cooper S Chili";B;A6;2010;2012
60754;"Clubman Cooper S Hampton";B;H6;2011;2012
60754;"Clubman Cooper S Hampton";B;H6;2011;2012
60755;"Clubman Cooper S Hampton";B;A6;2011;2012
60742;"Clubman Cooper SD";D;H6;2011;heden
60743;"Clubman Cooper SD";D;A6;2011;heden
60743;"Clubman Cooper SD";D;A6;2011;heden
60744;"Clubman Cooper SD Salt";D;H6;2011;2012
60745;"Clubman Cooper SD Salt";D;A6;2011;2012
60746;"Clubman Cooper SD Pepper";D;H6;2011;2012
60746;"Clubman Cooper SD Pepper";D;H6;2011;2012
60747;"Clubman Cooper SD Pepper";D;A6;2011;2012
60748;"Clubman Cooper SD Chili";D;H6;2011;2012
60749;"Clubman Cooper SD Chili";D;A6;2011;2012
60749;"Clubman Cooper SD Chili";D;A6;2011;2012
60756;"Clubman Cooper SD Hampton";D;H6;2011;2012
60757;"Clubman Cooper SD Hampton";D;A6;2011;2012
58143;"Clubman Cooper S John Cooper Works";B;H6;2010;heden
58143;"Clubman Cooper S John Cooper Works";B;H6;2010;heden
68453;"Clubman Cooper S John Cooper Works";B;A6;2012;heden
58142;"Clubman Cooper S John Cooper Works Chili";B;H6;2010;2012
