id;pikk_mudel;kytus;kaigukast;alates;kuni
70927;"Paceman Cooper";B;H6;2013;heden
70929;"Paceman Cooper";B;A6;2013;heden
74626;"Paceman Cooper ALL4";B;H6;2013;heden
74626;"Paceman Cooper ALL4";B;H6;2013;heden
74627;"Paceman Cooper ALL4";B;A6;2013;heden
70933;"Paceman Cooper S";B;H6;2013;heden
70932;"Paceman Cooper S";B;A6;2013;heden
70932;"Paceman Cooper S";B;A6;2013;heden
70931;"Paceman Cooper S ALL4";B;H6;2013;heden
70930;"Paceman Cooper S ALL4";B;A6;2013;heden
70937;"Paceman Cooper D";D;H6;2013;heden
70937;"Paceman Cooper D";D;H6;2013;heden
70936;"Paceman Cooper D";D;A6;2013;heden
70935;"Paceman Cooper D ALL4";D;H6;2013;heden
70934;"Paceman Cooper D ALL4";D;A6;2013;heden
70934;"Paceman Cooper D ALL4";D;A6;2013;heden
70941;"Paceman Cooper SD";D;H6;2013;heden
70940;"Paceman Cooper SD";D;A6;2013;heden
70939;"Paceman Cooper SD ALL4";D;H6;2013;heden
70939;"Paceman Cooper SD ALL4";D;H6;2013;heden
70938;"Paceman Cooper SD ALL4";D;A6;2013;heden
