id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
113;Pajero;"3-deurs suv";1991;1997;448;Pajero;19905
115;Pajero;"3-deurs suv";1997;2000;448;Pajero;21858
121;Pajero;"3-deurs suv";2006;heden;448;Pajero;38364
111;"Pajero Canvas Top";"3-deurs suv";1986;1990;448;Pajero;0
117;"Pajero Kort";"3-deurs suv";2000;2003;448;Pajero;23635
119;"Pajero Kort";"3-deurs suv";2003;2006;448;Pajero;26351
118;"Pajero Lang";"5-deurs suv";2000;2003;448;Pajero;23639
120;"Pajero Lang";"5-deurs suv";2003;2006;448;Pajero;26358
112;"Pajero Long Body";"5-deurs suv";1986;1991;448;Pajero;0
114;"Pajero Long Body";"5-deurs suv";1991;1997;448;Pajero;19902
116;"Pajero Long Body";"5-deurs suv";1997;2000;448;Pajero;21861
122;"Pajero Long Body";"5-deurs suv";2006;heden;448;Pajero;38378
3210;"Pajero LWB";"5-deurs suv";2006;heden;448;Pajero;38378
2746;"Pajero Metal Top";"3-deurs suv";1986;1991;448;Pajero;0
3211;"Pajero SWB";"3-deurs suv";2006;heden;448;Pajero;38364
2748;"Pajero Wagon";"5-deurs suv";1986;1990;448;Pajero;0
