id;pikk_mudel;kytus;kaigukast;alates;kuni
21142;"Carisma.nl 1.6";B;H5;2000;2001
18682;"Carisma 1.6 Classic";B;H5;1999;2001
18683;"Carisma 1.6 Comfort";B;H5;1999;2001
18683;"Carisma 1.6 Comfort";B;H5;1999;2001
18684;"Carisma 1.6 Comfort";B;A4;1999;2001
18685;"Carisma 1.6 Avance";B;H5;1999;2001
18686;"Carisma 1.6 Avance";B;A4;1999;2001
18686;"Carisma 1.6 Avance";B;A4;1999;2001
21143;"Carisma.nl 1.8 GDI";B;H5;2000;2001
18687;"Carisma 1.8 GDI Classic";B;H5;1999;2001
18688;"Carisma 1.8 GDI Comfort";B;H5;1999;2001
18688;"Carisma 1.8 GDI Comfort";B;H5;1999;2001
18689;"Carisma 1.8 GDI Comfort";B;A4;1999;2001
18690;"Carisma 1.8 GDI Avance";B;H5;1999;2001
18691;"Carisma 1.8 GDI Avance";B;A4;1999;2001
18691;"Carisma 1.8 GDI Avance";B;A4;1999;2001
18692;"Carisma 1.8 GDI Elegance";B;H5;1999;2001
18693;"Carisma 1.8 GDI Elegance";B;A4;1999;2001
21144;"Carisma 1.8 GDI-Motion";B;H5;2000;2001
21144;"Carisma 1.8 GDI-Motion";B;H5;2000;2001
18694;"Carisma 1.9 TD Classic";D;H5;1999;2001
21145;"Carisma.nl 1.9 TD";D;H5;2000;2001
18695;"Carisma 1.9 TD Comfort";D;H5;1999;2001
18695;"Carisma 1.9 TD Comfort";D;H5;1999;2001
18696;"Carisma 1.9 TD Elegance";D;H5;1999;2001
23409;"Carisma 1.9 DI-D 102pk Classic";D;H5;2001;2001
23410;"Carisma 1.9 DI-D 102pk Comfort";D;H5;2001;2001
23410;"Carisma 1.9 DI-D 102pk Comfort";D;H5;2001;2001
23411;"Carisma 1.9 DI-D 102pk Elegance";D;H5;2001;2001
23412;"Carisma 1.9 DI-D 115pk Comfort";D;H5;2001;2001
23413;"Carisma 1.9 DI-D 115pk Avance";D;H5;2001;2001
23413;"Carisma 1.9 DI-D 115pk Avance";D;H5;2001;2001
23414;"Carisma 1.9 DI-D 115pk Elegance";D;H5;2001;2001
