id;pikk_mudel;kytus;kaigukast;alates;kuni
38264;"Colt 1.1";B;H5;2005;2007
32351;"Colt 1.1 Inform";B;H5;2004;2007
34365;"Colt 1.1 Inform Cool Pack";B;H5;2004;2005
34365;"Colt 1.1 Inform Cool Pack";B;H5;2004;2005
38265;"Colt 1.1 Invite";B;H5;2005;2007
32354;"Colt 1.3 Inform";B;H5;2004;2007
34370;"Colt 1.3 Inform";B;A6;2004;2005
34370;"Colt 1.3 Inform";B;A6;2004;2005
34366;"Colt 1.3 Inform Cool Pack";B;H5;2004;2005
34371;"Colt 1.3 Inform Cool Pack";B;A6;2004;2005
34369;"Colt 1.3 Inform Intro Pack";B;H5;2004;2005
34369;"Colt 1.3 Inform Intro Pack";B;H5;2004;2005
34372;"Colt 1.3 Inform Intro Pack";B;A6;2004;2005
32355;"Colt 1.3 Invite";B;H5;2004;2007
34373;"Colt 1.3 Invite";B;A6;2004;2007
34373;"Colt 1.3 Invite";B;A6;2004;2007
32356;"Colt 1.3 Instyle";B;H5;2004;2007
34374;"Colt 1.3 Instyle";B;A6;2004;2007
34367;"Colt 1.5 Inform Cool Pack";B;H5;2004;2005
34367;"Colt 1.5 Inform Cool Pack";B;H5;2004;2005
34375;"Colt 1.5 Inform Cool Pack";B;A6;2004;2005
32357;"Colt 1.5 Invite";B;H5;2004;2005
34376;"Colt 1.5 Invite";B;A6;2004;2005
34376;"Colt 1.5 Invite";B;A6;2004;2005
32358;"Colt 1.5 Instyle";B;H5;2004;2007
34377;"Colt 1.5 Instyle";B;A6;2004;2005
34368;"Colt 1.5 DI-D HP Inform Cool Pack";D;H5;2004;2005
34368;"Colt 1.5 DI-D HP Inform Cool Pack";D;H5;2004;2005
34378;"Colt 1.5 DI-D HP Inform Cool Pack";D;A6;2004;2005
36207;"Colt 1.5 DI-D HP Invite";D;H5;2005;2007
32360;"Colt 1.5 DI-D HP Instyle";D;H5;2004;2007
32360;"Colt 1.5 DI-D HP Instyle";D;H5;2004;2007
34380;"Colt 1.5 DI-D HP Instyle";D;A6;2004;2005
