id;pikk_mudel;kytus;kaigukast;alates;kuni
14841;"Galant 2.0 GLXi";B;H5;1997;2001
14842;"Galant 2.0 GLSi";B;H5;1997;2001
14843;"Galant 2.0 GLSi";B;A4;1997;2001
14843;"Galant 2.0 GLSi";B;A4;1997;2001
21146;"Galant 2.0 Comfort";B;H5;2000;2004
21147;"Galant 2.0 Comfort";B;A4;2000;2003
21148;"Galant 2.0 Elegance";B;H5;2000;2002
21148;"Galant 2.0 Elegance";B;H5;2000;2002
21149;"Galant 2.0 Elegance";B;A4;2000;2002
18697;"Galant 2.4 GDI GLS";B;H5;1999;2001
18698;"Galant 2.4 GDI GLS";B;A4;1999;2001
18698;"Galant 2.4 GDI GLS";B;A4;1999;2001
14844;"Galant 2.5 V6";B;H5;1997;2001
14845;"Galant 2.5 V6";B;A4;1997;2001
21150;"Galant 2.5 V6 Elegance";B;H5;2000;2003
21150;"Galant 2.5 V6 Elegance";B;H5;2000;2003
21151;"Galant 2.5 V6 Elegance";B;A4;2000;2003
14846;"Galant 2.0 TD GLS";D;H5;1997;2001
