id;pikk_mudel;kytus;kaigukast;alates;kuni
69598;"Outlander 2.0 ClearTec Intense 2WD";B;H5;2012;heden
69601;"Outlander 2.0 ClearTec Intense 2WD";B;A1;2012;heden
69602;"Outlander 2.0 ClearTec Intense+ 2WD";B;A1;2012;heden
69602;"Outlander 2.0 ClearTec Intense+ 2WD";B;A1;2012;heden
69603;"Outlander 2.0 ClearTec Instyle 2WD";B;A1;2012;heden
69604;"Outlander 2.0 ClearTec Instyle 4WD";B;A1;2012;heden
71699;"Outlander PHEV Intense+";B;A1;2013;2013
71699;"Outlander PHEV Intense+";B;A1;2013;2013
75398;"Outlander PHEV Business Edition";B;A1;2013;heden
75399;"Outlander PHEV Executive Edition";B;A1;2013;heden
71700;"Outlander PHEV Instyle";B;A1;2013;heden
71700;"Outlander PHEV Instyle";B;A1;2013;heden
71701;"Outlander PHEV Instyle+";B;A1;2013;heden
69605;"Outlander 2.2 DI-D ClearTec Intense 2WD";D;H6;2012;heden
69606;"Outlander 2.2 DI-D ClearTec Intense+ 4WD";D;H6;2012;heden
69606;"Outlander 2.2 DI-D ClearTec Intense+ 4WD";D;H6;2012;heden
69607;"Outlander 2.2 DI-D Instyle 4WD";D;A6;2012;heden
