id;pikk_mudel;kytus;kaigukast;alates;kuni
23430;"Pajero Pinin Long Body 1.8 GL";B;H5;2001;2003
25795;"Pajero Pinin Long Body 1.8 GL";B;A4;2002;2003
24650;"Pajero Pinin Long Body 1.8 GLX";B;H5;2001;2005
24650;"Pajero Pinin Long Body 1.8 GLX";B;H5;2001;2005
25796;"Pajero Pinin Long Body 1.8 GLX";B;A4;2002;2003
25798;"Pajero Pinin Long Body 1.8 GLS";B;H5;2002;2002
25797;"Pajero Pinin Long Body 1.8 GLS";B;A4;2002;2002
25797;"Pajero Pinin Long Body 1.8 GLS";B;A4;2002;2002
24649;"Pajero Pinin Long Body 2.0 GDI GL";B;H5;2001;2002
23431;"Pajero Pinin Long Body 2.0 GDI GL";B;A4;2001;2002
23432;"Pajero Pinin Long Body 2.0 GDI GLX";B;H5;2001;2003
23432;"Pajero Pinin Long Body 2.0 GDI GLX";B;H5;2001;2003
23433;"Pajero Pinin Long Body 2.0 GDI GLX";B;A4;2001;2003
23434;"Pajero Pinin Long Body 2.0 GDI GLX LSD";B;H5;2001;2002
23435;"Pajero Pinin Long Body 2.0 GDI GLX LSD";B;A4;2001;2002
23435;"Pajero Pinin Long Body 2.0 GDI GLX LSD";B;A4;2001;2002
27214;"Pajero Pinin Long Body 2.0 GDI GLS";B;H5;2002;2004
27213;"Pajero Pinin Long Body 2.0 GDI GLS";B;A4;2002;2004
