id;pikk_mudel;kytus;kaigukast;alates;kuni
27474;"Pajero Sport 3.0 V6 GLS";B;A4;2002;2004
34116;"Pajero Sport 3.0 V6 Intense";B;A4;2004;2008
27473;"Pajero Sport 2.5 TD GLX";D;H5;2002;2004
27473;"Pajero Sport 2.5 TD GLX";D;H5;2002;2004
27472;"Pajero Sport 2.5 TD GLS";D;H5;2002;2004
31237;"Pajero Sport 2.5 TD GLS Warrior";D;H5;2003;2004
34115;"Pajero Sport 2.5 TD Inform";D;H5;2004;2008
34115;"Pajero Sport 2.5 TD Inform";D;H5;2004;2008
34114;"Pajero Sport 2.5 TD Invite";D;H5;2004;2008
34113;"Pajero Sport 2.5 TD Intense";D;H5;2004;2008
