id;pikk_mudel;kytus;kaigukast;alates;kuni
28085;"Space Star 1.3 Base";B;H5;2003;2004
26412;"Space Star 1.3 Family";B;H5;2002;2004
28086;"Space Star 1.3 Shogun";B;H5;2003;2004
28086;"Space Star 1.3 Shogun";B;H5;2003;2004
26411;"Space Star 1.3 Comfort";B;H5;2002;2004
26410;"Space Star 1.6 Family";B;H5;2002;2004
28087;"Space Star 1.6 Shogun";B;H5;2003;2004
28087;"Space Star 1.6 Shogun";B;H5;2003;2004
26417;"Space Star 1.6 Comfort";B;H5;2002;2004
26416;"Space Star 1.6 Comfort";B;A4;2002;2004
28089;"Space Star 1.6 Shogun SE";B;H5;2003;2004
28089;"Space Star 1.6 Shogun SE";B;H5;2003;2004
28088;"Space Star 1.6 Shogun SE";B;A4;2003;2004
26415;"Space Star 1.6 Avance";B;H5;2002;2004
26414;"Space Star 1.8 Comfort";B;H5;2002;2004
26414;"Space Star 1.8 Comfort";B;H5;2002;2004
26421;"Space Star 1.8 Comfort";B;A4;2002;2004
28091;"Space Star 1.8 Shogun SE";B;H5;2003;2004
28090;"Space Star 1.8 Shogun SE";B;A4;2003;2004
28090;"Space Star 1.8 Shogun SE";B;A4;2003;2004
26420;"Space Star 1.8 Avance";B;H5;2002;2004
26419;"Space Star 1.9 DI-D Family";D;H5;2002;2004
28092;"Space Star 1.9 DI-D Shogun";D;H5;2003;2004
28092;"Space Star 1.9 DI-D Shogun";D;H5;2003;2004
26418;"Space Star 1.9 DI-D Comfort";D;H5;2002;2004
28093;"Space Star 1.9 DI-D Shogun SE";D;H5;2003;2004
26423;"Space Star 1.9 DI-D HP Comfort";D;H5;2002;2004
26423;"Space Star 1.9 DI-D HP Comfort";D;H5;2002;2004
28094;"Space Star 1.9 DI-D HP Shogun SE";D;H5;2003;2004
26422;"Space Star 1.9 DI-D HP Avance";D;H5;2002;2004
