id;pikk_mudel;kytus;kaigukast;alates;kuni
21219;"Almera 1.5";B;H5;2000;2002
21220;"Almera 1.5 Comfort";B;H5;2000;2002
21221;"Almera 1.5 Ambience";B;H5;2000;2002
21221;"Almera 1.5 Ambience";B;H5;2000;2002
21222;"Almera 1.5 Sport";B;H5;2000;2002
26878;"Almera 1.5 Sport Edition";B;H5;2002;2002
21223;"Almera 1.5 Luxury";B;H5;2000;2002
21223;"Almera 1.5 Luxury";B;H5;2000;2002
21224;"Almera 1.8 Comfort";B;H5;2000;2002
21225;"Almera 1.8 Comfort";B;A4;2000;2002
21226;"Almera 1.8 Ambience";B;H5;2000;2002
21226;"Almera 1.8 Ambience";B;H5;2000;2002
21227;"Almera 1.8 Ambience";B;A4;2000;2002
21228;"Almera 1.8 Sport";B;H5;2000;2002
26880;"Almera 1.8 Sport Edition";B;H5;2002;2002
26880;"Almera 1.8 Sport Edition";B;H5;2002;2002
21229;"Almera 1.8 Luxury";B;H5;2000;2002
21230;"Almera 1.8 Luxury";B;A4;2000;2002
24022;"Almera 1.8 Elegance";B;H5;2001;2002
24022;"Almera 1.8 Elegance";B;H5;2001;2002
24021;"Almera 1.8 Elegance";B;A4;2001;2002
21231;"Almera 2.2 Di Comfort";D;H5;2000;2002
21232;"Almera 2.2 Di Ambience";D;H5;2000;2002
21232;"Almera 2.2 Di Ambience";D;H5;2000;2002
26882;"Almera 2.2 Di Sport Edition";D;H5;2002;2002
21233;"Almera 2.2 Di Luxury";D;H5;2000;2002
24023;"Almera 2.2 Di Elegance";D;H5;2001;2002
24023;"Almera 2.2 Di Elegance";D;H5;2001;2002
