id;pikk_mudel;kytus;kaigukast;alates;kuni
2821;"Bluebird 1.6 L";B;H5;1986;1988
2822;"Bluebird 1.6 LX";B;H5;1986;1988
2823;"Bluebird 2.0 LX";B;H5;1986;1988
2823;"Bluebird 2.0 LX";B;H5;1986;1988
2824;"Bluebird 2.0 LX";B;A4;1986;1987
2825;"Bluebird 2.0 SLX";B;H5;1986;1988
2826;"Bluebird 2.0 SLX";B;A4;1986;1988
2826;"Bluebird 2.0 SLX";B;A4;1986;1988
3846;"Bluebird 2.0 LX";B;H5;1987;1988
3847;"Bluebird 2.0 SLX";B;H5;1987;1988
2827;"Bluebird 1.8 SGX Turbo";B;H5;1986;1988
2827;"Bluebird 1.8 SGX Turbo";B;H5;1986;1988
2828;"Bluebird 2.0 D LX";D;H5;1986;1988
