id;pikk_mudel;kytus;kaigukast;alates;kuni
36122;"Micra 1.2 65pk Pure";B;H5;2005;2008
36486;"Micra 1.2 65pk Visia";B;H5;2005;2007
44292;"Micra 1.2 65pk ELLE";B;H5;2006;2008
44292;"Micra 1.2 65pk ELLE";B;H5;2006;2008
36489;"Micra 1.2 80pk Visia";B;H5;2005;2007
36488;"Micra 1.2 80pk Visia";B;A1;2005;2007
44293;"Micra 1.2 80pk ELLE";B;H5;2006;2008
44293;"Micra 1.2 80pk ELLE";B;H5;2006;2008
44294;"Micra 1.2 80pk ELLE";B;A1;2006;2008
36493;"Micra 1.2 80pk Tekna";B;H5;2005;2007
36492;"Micra 1.2 80pk Acenta";B;H5;2005;2008
36492;"Micra 1.2 80pk Acenta";B;H5;2005;2008
36498;"Micra 1.4 Tekna";B;H5;2005;2007
36497;"Micra 1.4 Acenta";B;H5;2005;2008
36496;"Micra 1.4 Acenta";B;A1;2005;2008
36496;"Micra 1.4 Acenta";B;A1;2005;2008
43792;"Micra 1.4 Active Luxury";B;H5;2006;2008
43793;"Micra 1.4 Active Luxury";B;A1;2006;2008
36124;"Micra 1.6 160SR";B;H5;2005;2007
36124;"Micra 1.6 160SR";B;H5;2005;2007
36123;"Micra 1.6 Acenta+";B;H5;2005;2007
43795;"Micra 1.6 Active Luxury";B;H5;2006;2008
36504;"Micra 1.5 dCi 65pk Visia";D;H5;2005;2007
36504;"Micra 1.5 dCi 65pk Visia";D;H5;2005;2007
44295;"Micra 1.5 dCi 65pk ELLE";D;H5;2006;2007
36503;"Micra 1.5 dCi 82pk Tekna";D;H5;2005;2007
36502;"Micra 1.5 dCi 82pk Acenta";D;H5;2005;2007
36502;"Micra 1.5 dCi 82pk Acenta";D;H5;2005;2007
43794;"Micra 1.5 dCi 82pk Active Luxury";D;H5;2006;2007
47000;"Micra 1.5 dCi 86pk ELLE";D;H5;2007;2008
47001;"Micra 1.5 dCi 86pk Acenta";D;H5;2007;2008
47001;"Micra 1.5 dCi 86pk Acenta";D;H5;2007;2008
47002;"Micra 1.5 dCi 86pk Active Luxury";D;H5;2007;2008
