id;pikk_mudel;kytus;kaigukast;alates;kuni
75089;"Micra 1.2 Visia";B;H5;2013;heden
75092;"Micra 1.2 Visia Pack";B;H5;2013;heden
75091;"Micra 1.2 Visia Pack";B;A1;2013;heden
75091;"Micra 1.2 Visia Pack";B;A1;2013;heden
75094;"Micra 1.2 Acenta";B;H5;2013;heden
75093;"Micra 1.2 Acenta";B;A1;2013;heden
75096;"Micra 1.2 Connect Edition";B;H5;2013;heden
75096;"Micra 1.2 Connect Edition";B;H5;2013;heden
75095;"Micra 1.2 Connect Edition";B;A1;2013;heden
75097;"Micra 1.2 Tekna";B;H5;2013;heden
75098;"Micra 1.2 DIG-S Visia";B;H5;2013;heden
75098;"Micra 1.2 DIG-S Visia";B;H5;2013;heden
75100;"Micra 1.2 DIG-S Acenta";B;H5;2013;heden
75099;"Micra 1.2 DIG-S Acenta";B;A1;2013;heden
75102;"Micra 1.2 DIG-S Connect Edition";B;H5;2013;heden
75102;"Micra 1.2 DIG-S Connect Edition";B;H5;2013;heden
75101;"Micra 1.2 DIG-S Connect Edition";B;A1;2013;heden
75104;"Micra 1.2 DIG-S Tekna";B;H5;2013;heden
75103;"Micra 1.2 DIG-S Tekna";B;A1;2013;heden
75103;"Micra 1.2 DIG-S Tekna";B;A1;2013;heden
