id;pikk_mudel;kytus;kaigukast;alates;kuni
67552;"NV200 1.6 Visia";B;H5;2011;heden
67557;"NV200 1.6 Acenta";B;H5;2011;heden
73251;"NV200 1.6 Optima";B;H5;2013;heden
73251;"NV200 1.6 Optima";B;H5;2013;heden
73254;"NV200 1.6 Business";B;H5;2013;heden
67554;"NV200 1.5 dCi 90pk Visia";D;H5;2011;heden
67558;"NV200 1.5 dCi 90pk Acenta";D;H5;2011;heden
67558;"NV200 1.5 dCi 90pk Acenta";D;H5;2011;heden
73252;"NV200 1.5 dCi 90pk Optima";D;H5;2013;heden
73255;"NV200 1.5 dCi 90pk Business";D;H5;2013;heden
67556;"NV200 1.5 dCi 110pk Acenta";D;H6;2011;heden
67556;"NV200 1.5 dCi 110pk Acenta";D;H6;2011;heden
73253;"NV200 1.5 dCi 110pk Optima";D;H6;2013;heden
73256;"NV200 1.5 dCi 110pk Business";D;H6;2013;heden
