id;pikk_mudel;kytus;kaigukast;alates;kuni
74730;"Note 1.2 Visia";B;H5;2013;heden
74734;"Note 1.2 Acenta";B;H5;2013;heden
74736;"Note 1.2 Connect Edition";B;H5;2013;heden
74736;"Note 1.2 Connect Edition";B;H5;2013;heden
75288;"Note 1.2 DIG-S Acenta";B;H5;2014;heden
75291;"Note 1.2 DIG-S Acenta";B;A1;2014;heden
75289;"Note 1.2 DIG-S Connect Edition";B;H5;2014;heden
75289;"Note 1.2 DIG-S Connect Edition";B;H5;2014;heden
75292;"Note 1.2 DIG-S Connect Edition";B;A1;2014;heden
75290;"Note 1.2 DIG-S Tekna";B;H5;2014;heden
75293;"Note 1.2 DIG-S Tekna";B;A1;2014;heden
75293;"Note 1.2 DIG-S Tekna";B;A1;2014;heden
74733;"Note 1.5 dCi Visia";B;H5;2013;heden
74735;"Note 1.5 dCi Acenta";B;H5;2013;heden
74737;"Note 1.5 dCi Connect Edition";B;H5;2013;heden
74737;"Note 1.5 dCi Connect Edition";B;H5;2013;heden
74738;"Note 1.5 dCi Tekna";B;H5;2013;heden
