id;pikk_mudel;kytus;kaigukast;alates;kuni
16901;"Patrol GR 2.8 Turbo D";D;H5;1998;2000
16902;"Patrol GR 2.8 Turbo D S";D;H5;1998;2000
16903;"Patrol GR 2.8 Turbo D SE";D;H5;1998;2000
16903;"Patrol GR 2.8 Turbo D SE";D;H5;1998;2000
21304;"Patrol GR 3.0 Di Turbo Comfort";D;H5;2000;2003
21305;"Patrol GR 3.0 Di Turbo Sport";D;H5;2000;2003
21306;"Patrol GR 3.0 Di Turbo Luxury";D;H5;2000;2003
21306;"Patrol GR 3.0 Di Turbo Luxury";D;H5;2000;2003
21307;"Patrol GR 3.0 Di Turbo Luxury";D;A4;2000;2003
21308;"Patrol GR 3.0 Di Turbo Elegance";D;H5;2000;2003
21309;"Patrol GR 3.0 Di Turbo Elegance";D;A4;2000;2003
21309;"Patrol GR 3.0 Di Turbo Elegance";D;A4;2000;2003
