id;pikk_mudel;kytus;kaigukast;alates;kuni
18740;"Primera 1.6 Comfort";B;H5;1999;2002
18741;"Primera 1.8 Comfort";B;H5;1999;2002
18742;"Primera 1.8 Luxury";B;H5;1999;2002
18742;"Primera 1.8 Luxury";B;H5;1999;2002
18743;"Primera 1.8 Luxury Plus";B;H5;1999;2002
18744;"Primera 1.8 Sport";B;H5;1999;2002
18745;"Primera 1.8 Sport Plus";B;H5;1999;2002
18745;"Primera 1.8 Sport Plus";B;H5;1999;2002
18746;"Primera 1.8 Elegance";B;H5;1999;2002
18747;"Primera 2.0 Comfort";B;H5;1999;2002
18748;"Primera 2.0 Comfort";B;A1;1999;2002
18748;"Primera 2.0 Comfort";B;A1;1999;2002
18749;"Primera 2.0 Luxury";B;H5;1999;2002
18750;"Primera 2.0 Luxury";B;A1;1999;2002
18751;"Primera 2.0 Luxury Plus";B;H5;1999;2002
18751;"Primera 2.0 Luxury Plus";B;H5;1999;2002
18752;"Primera 2.0 Luxury Plus";B;A1;1999;2002
18753;"Primera 2.0 Sport";B;H5;1999;2002
18754;"Primera 2.0 Sport Hypertronic M6";B;A1;1999;2002
18754;"Primera 2.0 Sport Hypertronic M6";B;A1;1999;2002
18755;"Primera 2.0 Sport Plus";B;H5;1999;2002
18756;"Primera 2.0 Sport Plus Hypertronic M6";B;A1;1999;2002
18757;"Primera 2.0 Elegance";B;H5;1999;2002
18757;"Primera 2.0 Elegance";B;H5;1999;2002
18758;"Primera 2.0 Elegance Hypertronic M6";B;A1;1999;2002
18759;"Primera 2.0 Elegance Plus";B;H5;1999;2002
18760;"Primera 2.0 Elegance Plus Hypertronic M6";B;A1;1999;2002
18760;"Primera 2.0 Elegance Plus Hypertronic M6";B;A1;1999;2002
18761;"Primera 2.0 TD Comfort";D;H5;1999;2002
18762;"Primera 2.0 TD Luxury";D;H5;1999;2002
18763;"Primera 2.0 TD Luxury Plus";D;H5;1999;2002
18763;"Primera 2.0 TD Luxury Plus";D;H5;1999;2002
