id;pikk_mudel;kytus;kaigukast;alates;kuni
44544;"Qashqai 1.6 Visia";B;H5;2007;2008
44555;"Qashqai 1.6 Acenta";B;H5;2007;2008
44557;"Qashqai 1.6 Tekna";B;H5;2007;2008
44557;"Qashqai 1.6 Tekna";B;H5;2007;2008
44547;"Qashqai 2.0 2WD Acenta";B;H6;2007;2008
44549;"Qashqai 2.0 2WD Acenta";B;A1;2007;2008
48000;"Qashqai 2.0 2WD Acenta Pack";B;H6;2008;2008
48000;"Qashqai 2.0 2WD Acenta Pack";B;H6;2008;2008
47999;"Qashqai 2.0 2WD Acenta Pack";B;A1;2008;2008
47998;"Qashqai 2.0 2WD Acenta Premium";B;H6;2008;2008
47997;"Qashqai 2.0 2WD Acenta Premium";B;A1;2008;2008
47997;"Qashqai 2.0 2WD Acenta Premium";B;A1;2008;2008
44559;"Qashqai 2.0 2WD Tekna";B;H6;2007;2008
44558;"Qashqai 2.0 2WD Tekna";B;A1;2007;2008
44567;"Qashqai 2.0 2WD Tekna Pack";B;H6;2007;2008
44567;"Qashqai 2.0 2WD Tekna Pack";B;H6;2007;2008
44566;"Qashqai 2.0 2WD Tekna Pack";B;A1;2007;2008
44574;"Qashqai 2.0 2WD Tekna Premium";B;H6;2007;2008
44573;"Qashqai 2.0 2WD Tekna Premium";B;A1;2007;2008
44573;"Qashqai 2.0 2WD Tekna Premium";B;A1;2007;2008
44548;"Qashqai 2.0 4WD Acenta";B;H6;2007;2008
44550;"Qashqai 2.0 4WD Acenta";B;A1;2007;2008
48004;"Qashqai 2.0 4WD Acenta Pack";B;H6;2008;2008
48004;"Qashqai 2.0 4WD Acenta Pack";B;H6;2008;2008
48003;"Qashqai 2.0 4WD Acenta Pack";B;A1;2008;2008
48002;"Qashqai 2.0 4WD Acenta Premium";B;H6;2008;2008
48001;"Qashqai 2.0 4WD Acenta Premium";B;A1;2008;2008
48001;"Qashqai 2.0 4WD Acenta Premium";B;A1;2008;2008
44561;"Qashqai 2.0 4WD Tekna";B;H6;2007;2008
44560;"Qashqai 2.0 4WD Tekna";B;A1;2007;2008
44569;"Qashqai 2.0 4WD Tekna Pack";B;H6;2007;2008
44569;"Qashqai 2.0 4WD Tekna Pack";B;H6;2007;2008
44568;"Qashqai 2.0 4WD Tekna Pack";B;A1;2007;2008
44576;"Qashqai 2.0 4WD Tekna Premium";B;H6;2007;2008
44575;"Qashqai 2.0 4WD Tekna Premium";B;A1;2007;2008
44575;"Qashqai 2.0 4WD Tekna Premium";B;A1;2007;2008
44551;"Qashqai 1.5 dCi Visia";D;H6;2007;2008
44556;"Qashqai 1.5 dCi Acenta";D;H6;2007;2008
47995;"Qashqai 1.5 dCi Acenta Pack";D;H6;2008;2008
47995;"Qashqai 1.5 dCi Acenta Pack";D;H6;2008;2008
44562;"Qashqai 1.5 dCi Tekna";D;H6;2007;2008
47996;"Qashqai 1.5 dCi Tekna Pack";D;H6;2008;2008
44552;"Qashqai 2.0 dCi 2WD Acenta";D;H6;2007;2008
44552;"Qashqai 2.0 dCi 2WD Acenta";D;H6;2007;2008
48006;"Qashqai 2.0 dCi 2WD Acenta Pack";D;H6;2008;2008
48005;"Qashqai 2.0 dCi 2WD Acenta Premium";D;H6;2008;2008
44563;"Qashqai 2.0 dCi 2WD Tekna";D;H6;2007;2008
44563;"Qashqai 2.0 dCi 2WD Tekna";D;H6;2007;2008
44570;"Qashqai 2.0 dCi 2WD Tekna Pack";D;H6;2007;2008
44577;"Qashqai 2.0 dCi 2WD Tekna Premium";D;H6;2007;2008
44553;"Qashqai 2.0 dCi 4WD Acenta";D;H6;2007;2008
44553;"Qashqai 2.0 dCi 4WD Acenta";D;H6;2007;2008
44554;"Qashqai 2.0 dCi 4WD Acenta";D;A6;2007;2008
48010;"Qashqai 2.0 dCi 4WD Acenta Pack";D;H6;2008;2008
48009;"Qashqai 2.0 dCi 4WD Acenta Pack";D;A6;2008;2008
48009;"Qashqai 2.0 dCi 4WD Acenta Pack";D;A6;2008;2008
48008;"Qashqai 2.0 dCi 4WD Acenta Premium";D;H6;2008;2008
48007;"Qashqai 2.0 dCi 4WD Acenta Premium";D;A6;2008;2008
44565;"Qashqai 2.0 dCi 4WD Tekna";D;H6;2007;2008
44565;"Qashqai 2.0 dCi 4WD Tekna";D;H6;2007;2008
44564;"Qashqai 2.0 dCi 4WD Tekna";D;A6;2007;2008
44572;"Qashqai 2.0 dCi 4WD Tekna Pack";D;H6;2007;2008
44571;"Qashqai 2.0 dCi 4WD Tekna Pack";D;A6;2007;2008
44571;"Qashqai 2.0 dCi 4WD Tekna Pack";D;A6;2007;2008
44579;"Qashqai 2.0 dCi 4WD Tekna Premium";D;H6;2007;2008
44578;"Qashqai 2.0 dCi 4WD Tekna Premium";D;A6;2007;2008
