id;pikk_mudel;kytus;kaigukast;alates;kuni
2785;"Sunny 1.3 L";B;H4;1986;1989
2786;"Sunny 1.3 LX";B;H4;1986;1989
2787;"Sunny 1.3 LX";B;A3;1986;1989
2787;"Sunny 1.3 LX";B;A3;1986;1989
2788;"Sunny 1.3 SLX";B;H4;1986;1989
5425;"Sunny 1.4 L";B;H5;1989;1991
5426;"Sunny 1.4 automaat";B;A3;1989;1991
5426;"Sunny 1.4 automaat";B;A3;1989;1991
5427;"Sunny 1.4 LX";B;H5;1989;1991
5428;"Sunny 1.4 SLX";B;H5;1989;1991
2789;"Sunny 1.6 SLX";B;H5;1986;1989
2789;"Sunny 1.6 SLX";B;H5;1986;1989
2790;"Sunny 1.6 SLX";B;A3;1986;1989
2791;"Sunny 1.6 SLX";B;H5;1986;1989
5429;"Sunny 1.6 SLX";B;H5;1989;1991
5429;"Sunny 1.6 SLX";B;H5;1989;1991
5430;"Sunny 1.6 SLX";B;A3;1989;1991
3844;"Sunny 1.6 GTi-16V";B;H5;1987;1989
5431;"Sunny 1.8 GTi-16V";B;H5;1989;1991
5431;"Sunny 1.8 GTi-16V";B;H5;1989;1991
2792;"Sunny 1.7 D LX";D;H5;1986;1991
