id;pikk_mudel;kytus;kaigukast;alates;kuni
21294;"Terrano II 2.4 Comfort";B;H5;2000;2002
21295;"Terrano II 2.4 Sport";B;H5;2000;2002
21296;"Terrano II 2.4 Luxury";B;H5;2000;2002
21296;"Terrano II 2.4 Luxury";B;H5;2000;2002
21297;"Terrano II 2.4 Elegance";B;H5;2000;2002
21298;"Terrano II 2.7 TD Comfort";D;H5;2000;2002
21299;"Terrano II 2.7 TD Sport";D;H5;2000;2002
21299;"Terrano II 2.7 TD Sport";D;H5;2000;2002
21300;"Terrano II 2.7 TD Luxury";D;H5;2000;2002
21301;"Terrano II 2.7 TD Luxury";D;A4;2000;2002
21302;"Terrano II 2.7 TD Elegance";D;H5;2000;2002
21302;"Terrano II 2.7 TD Elegance";D;H5;2000;2002
21303;"Terrano II 2.7 TD Elegance";D;A4;2000;2002
