id;pikk_mudel;kytus;kaigukast;alates;kuni
26853;"Terrano 2.7 TD Comfort";D;H5;2002;2004
31265;"Terrano 2.7 TD Sport Base";D;H5;2003;2005
26859;"Terrano 2.7 TD Sport";D;H5;2002;2005
26859;"Terrano 2.7 TD Sport";D;H5;2002;2005
26862;"Terrano 2.7 TD Luxury";D;H5;2002;2005
26868;"Terrano 3.0 Di Sport";D;H5;2002;2004
26873;"Terrano 3.0 Di Sport";D;A4;2002;2004
26873;"Terrano 3.0 Di Sport";D;A4;2002;2004
26867;"Terrano 3.0 Di Luxury";D;H5;2002;2005
26874;"Terrano 3.0 Di Luxury";D;A4;2002;2005
26866;"Terrano 3.0 Di Elegance";D;H5;2002;2005
26866;"Terrano 3.0 Di Elegance";D;H5;2002;2005
26875;"Terrano 3.0 Di Elegance";D;A4;2002;2005
