id;pikk_mudel;kytus;kaigukast;alates;kuni
30183;"X-Trail 2.0 Comfort Base";B;H5;2002;2003
23443;"X-Trail 2.0 Comfort";B;H5;2001;2003
23444;"X-Trail 2.0 Sport";B;H5;2001;2003
23444;"X-Trail 2.0 Sport";B;H5;2001;2003
23445;"X-Trail 2.0 Luxury";B;H5;2001;2003
23446;"X-Trail 2.0 Luxury";B;A4;2001;2003
23447;"X-Trail 2.0 Elegance";B;H5;2001;2003
23447;"X-Trail 2.0 Elegance";B;H5;2001;2003
23448;"X-Trail 2.0 Elegance";B;A4;2001;2003
27602;"X-Trail 2.5 Luxury";B;H5;2003;2003
27601;"X-Trail 2.5 Luxury";B;A4;2003;2003
27601;"X-Trail 2.5 Luxury";B;A4;2003;2003
27600;"X-Trail 2.5 Elegance";B;H5;2003;2003
27599;"X-Trail 2.5 Elegance";B;A4;2003;2003
23449;"X-Trail 2.2 Cdi Comfort";D;H6;2001;2003
23449;"X-Trail 2.2 Cdi Comfort";D;H6;2001;2003
23450;"X-Trail 2.2 Cdi Sport";D;H6;2001;2003
23451;"X-Trail 2.2 Cdi Luxury";D;H6;2001;2003
23452;"X-Trail 2.2 Cdi Elegance";D;H6;2001;2003
23452;"X-Trail 2.2 Cdi Elegance";D;H6;2001;2003
