id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
385;Omega;"4-deurs sedan";1986;1989;510;Omega;19137
387;Omega;"4-deurs sedan";1989;1994;510;Omega;19135
389;Omega;"4-deurs sedan";1994;1997;510;Omega;20822
391;Omega;"4-deurs sedan";1997;1999;510;Omega;21875
393;Omega;"4-deurs sedan";1999;2003;510;Omega;23012
386;"Omega Caravan";"5-deurs stationwagon";1986;1989;510;Omega;19140
388;"Omega Caravan";"5-deurs stationwagon";1989;1994;510;Omega;84505
390;"Omega Stationwagon";"5-deurs stationwagon";1994;1997;510;Omega;20826
392;"Omega Stationwagon";"5-deurs stationwagon";1997;1999;510;Omega;21879
394;"Omega Stationwagon";"5-deurs stationwagon";1999;2003;510;Omega;23020
