id;pikk_mudel;mudeli_tyyp;alates;kuni;id_2;mudel;id_3
416;Vectra;"4-deurs sedan";1988;1992;518;Vectra;19341
417;Vectra;"5-deurs hatchback";1988;1992;518;Vectra;19345
418;Vectra;"4-deurs sedan";1992;1995;518;Vectra;19347
419;Vectra;"5-deurs hatchback";1992;1995;518;Vectra;19352
420;Vectra;"4-deurs sedan";1995;1999;518;Vectra;21194
421;Vectra;"5-deurs hatchback";1995;1999;518;Vectra;21197
424;Vectra;"5-deurs hatchback";1999;2002;518;Vectra;23035
423;Vectra;"4-deurs sedan";1999;2002;518;Vectra;23026
426;Vectra;"4-deurs sedan";2002;2005;518;Vectra;25384
429;Vectra;"4-deurs sedan";2005;2009;518;Vectra;28579
427;"Vectra GTS";"5-deurs hatchback";2002;2005;518;Vectra;25392
430;"Vectra GTS";"5-deurs hatchback";2005;2009;518;Vectra;28588
422;"Vectra Stationwagon";"5-deurs stationwagon";1996;1999;518;Vectra;21477
425;"Vectra Stationwagon";"5-deurs stationwagon";1999;2002;518;Vectra;23042
428;"Vectra Stationwagon";"5-deurs stationwagon";2003;2005;518;Vectra;26448
431;"Vectra Stationwagon";"5-deurs stationwagon";2005;2009;518;Vectra;28609
