id;pikk_mudel;kytus;kaigukast;alates;kuni
70871;"Adam 1.2";B;H5;2013;heden
70876;"Adam 1.2 Jam";B;H5;2013;heden
76140;"Adam 1.2 Jam Favourite";B;H5;2014;heden
76140;"Adam 1.2 Jam Favourite";B;H5;2014;heden
70877;"Adam 1.2 Glam";B;H5;2013;heden
70878;"Adam 1.2 Slam";B;H5;2013;heden
70874;"Adam 1.4 87pk Jam";B;H5;2013;heden
70874;"Adam 1.4 87pk Jam";B;H5;2013;heden
70879;"Adam 1.4 87pk Glam";B;H5;2013;heden
70880;"Adam 1.4 87pk Slam";B;H5;2013;heden
76137;"Adam 1.4 Bi-Fuel Jam";B;H5;2014;heden
76137;"Adam 1.4 Bi-Fuel Jam";B;H5;2014;heden
76138;"Adam 1.4 Bi-Fuel Glam";B;H5;2014;heden
76139;"Adam 1.4 Bi-Fuel Slam";B;H5;2014;heden
70875;"Adam 1.4 100pk Jam";B;H5;2013;heden
70875;"Adam 1.4 100pk Jam";B;H5;2013;heden
76141;"Adam 1.4 100pk Jam Black Favourite";B;H5;2014;heden
70881;"Adam 1.4 100pk Glam";B;H5;2013;heden
76142;"Adam 1.4 100pk Glam Favourite";B;H5;2014;heden
76142;"Adam 1.4 100pk Glam Favourite";B;H5;2014;heden
70882;"Adam 1.4 100pk Slam";B;H5;2013;heden
76143;"Adam 1.4 100pk Slam Black Favourite";B;H5;2014;heden
75152;"Adam 1.4 100pk Hardwell Edition";B;H5;2013;2014
75152;"Adam 1.4 100pk Hardwell Edition";B;H5;2013;2014
