id;pikk_mudel;kytus;kaigukast;alates;kuni
58230;"Antara 2.4 Edition 2x4";B;H5;2010;2011
43457;"Antara 2.4 Essentia";B;H5;2007;2010
43464;"Antara 2.4 Enjoy";B;H5;2007;2008
43464;"Antara 2.4 Enjoy";B;H5;2007;2008
49114;"Antara 2.4 Temptation";B;H5;2008;2010
47988;"Antara 2.4 Cosmo";B;H5;2008;2011
43462;"Antara 3.2 V6 Cosmo";B;A5;2007;2010
43462;"Antara 3.2 V6 Cosmo";B;A5;2007;2010
58231;"Antara 2.0 CDTI Edition 2x4";D;H5;2010;2011
43460;"Antara 2.0 CDTI Enjoy";D;H5;2007;2008
46423;"Antara 2.0 CDTI Enjoy";D;A5;2007;2008
46423;"Antara 2.0 CDTI Enjoy";D;A5;2007;2008
49115;"Antara 2.0 CDTI Temptation";D;H5;2008;2010
49116;"Antara 2.0 CDTI Temptation";D;A5;2008;2010
43463;"Antara 2.0 CDTI Cosmo";D;H5;2007;2011
43463;"Antara 2.0 CDTI Cosmo";D;H5;2007;2011
43461;"Antara 2.0 CDTI Cosmo";D;A5;2007;2011
