id;pikk_mudel;kytus;kaigukast;alates;kuni
1328;"Ascona 1.3 S LS";B;H4;1984;1987
1329;"Ascona 1.3 S GL";B;H4;1984;1987
1330;"Ascona 1.3 S GLS";B;H4;1984;1987
1330;"Ascona 1.3 S GLS";B;H4;1984;1987
2915;"Ascona 1.6 NE LS";B;H4;1986;1987
2916;"Ascona 1.6 NE GL";B;H4;1986;1987
2917;"Ascona 1.6 NE GLS";B;H4;1986;1987
2917;"Ascona 1.6 NE GLS";B;H4;1986;1987
2918;"Ascona 1.6 NC LS";B;H4;1986;1987
2919;"Ascona 1.6 NC GL";B;H4;1986;1987
2920;"Ascona 1.6 NC GLS";B;H4;1986;1987
2920;"Ascona 1.6 NC GLS";B;H4;1986;1987
3971;"Ascona 1.6i LS";B;H4;1987;1988
3972;"Ascona 1.6i GL";B;H4;1987;1988
3973;"Ascona 1.6i GLS";B;H4;1987;1988
3973;"Ascona 1.6i GLS";B;H4;1987;1988
3974;"Ascona 1.6i GT";B;H4;1987;1988
1331;"Ascona 1.6 S LS";B;H4;1984;1986
1332;"Ascona 1.6 S GL";B;H4;1984;1986
1332;"Ascona 1.6 S GL";B;H4;1984;1986
1333;"Ascona 1.6 S GLS";B;H4;1984;1986
1334;"Ascona 1.6 S GT";B;H4;1984;1986
1335;"Ascona 1.6 S CD";B;H5;1984;1986
1335;"Ascona 1.6 S CD";B;H5;1984;1986
2921;"Ascona 1.6 S LS";B;H4;1986;1988
2922;"Ascona 1.6 S GL";B;H4;1986;1988
2923;"Ascona 1.6 S GLS";B;H4;1986;1988
2923;"Ascona 1.6 S GLS";B;H4;1986;1988
2924;"Ascona 1.6 S GT";B;H4;1986;1988
2925;"Ascona 1.6 S CD";B;H5;1986;1988
3975;"Ascona 1.8 S LS";B;H4;1987;1988
3975;"Ascona 1.8 S LS";B;H4;1987;1988
3976;"Ascona 1.8 S GL";B;H4;1987;1988
3977;"Ascona 1.8 S GLS";B;H4;1987;1988
3978;"Ascona 1.8 S GT";B;H4;1987;1988
3978;"Ascona 1.8 S GT";B;H4;1987;1988
3979;"Ascona 1.8 S CD";B;H5;1987;1988
1336;"Ascona 1.8i LS";B;H5;1984;1986
1337;"Ascona 1.8i GL";B;H5;1984;1986
1337;"Ascona 1.8i GL";B;H5;1984;1986
1338;"Ascona 1.8i GLS";B;H5;1984;1986
1339;"Ascona 1.8i GT";B;H5;1984;1986
1340;"Ascona 1.8i CD";B;H5;1984;1986
1340;"Ascona 1.8i CD";B;H5;1984;1986
2926;"Ascona 2.0i LS";B;H5;1986;1988
2927;"Ascona 2.0i GL";B;H5;1986;1988
2928;"Ascona 2.0i GLS";B;H5;1986;1988
2928;"Ascona 2.0i GLS";B;H5;1986;1988
2929;"Ascona 2.0i GT";B;H5;1986;1988
2930;"Ascona 2.0i CD";B;H5;1986;1988
2931;"Ascona 2.0i LS";B;H5;1986;1987
2931;"Ascona 2.0i LS";B;H5;1986;1987
2932;"Ascona 2.0i GL";B;H5;1986;1987
2933;"Ascona 2.0i GLS";B;H5;1986;1987
2934;"Ascona 2.0i GT";B;H5;1986;1987
2934;"Ascona 2.0i GT";B;H5;1986;1987
2935;"Ascona 2.0i CD";B;H5;1986;1987
3980;"Ascona 2.0i GT 95kW";B;H5;1987;1988
1341;"Ascona 1.6 D LS";D;H5;1984;1988
1341;"Ascona 1.6 D LS";D;H5;1984;1988
1342;"Ascona 1.6 D GL";D;H5;1984;1988
1343;"Ascona 1.6 D GLS";D;H5;1984;1988
1344;"Ascona 1.6 D CD";D;H5;1984;1988
1344;"Ascona 1.6 D CD";D;H5;1984;1988
