id;pikk_mudel;kytus;kaigukast;alates;kuni
21375;"Astra 1.2i-16V Eco";B;H5;2001;2002
26678;"Astra 1.2i-16V GL";B;H5;2002;2004
16932;"Astra 1.6i GL";B;H5;1998;2000
16932;"Astra 1.6i GL";B;H5;1998;2000
16933;"Astra 1.6i GL";B;A4;1998;2000
16934;"Astra 1.6i Club";B;H5;1998;2000
16935;"Astra 1.6i Club";B;A4;1998;2000
16935;"Astra 1.6i Club";B;A4;1998;2000
16936;"Astra 1.6i Sport";B;H5;1998;2000
18794;"Astra 1.6i Pearl";B;H5;1999;2000
18795;"Astra 1.6i Diamond";B;H5;1999;2000
18795;"Astra 1.6i Diamond";B;H5;1999;2000
24334;"Astra 1.6i GL";B;H5;2000;2004
21376;"Astra 1.6i GL";B;A4;2000;2004
21377;"Astra 1.6i Comfort";B;H5;2000;2001
21377;"Astra 1.6i Comfort";B;H5;2000;2001
21378;"Astra 1.6i Comfort";B;A4;2000;2001
21379;"Astra 1.6i Pearl";B;H5;2000;2001
21380;"Astra 1.6i Pearl";B;A4;2000;2001
21380;"Astra 1.6i Pearl";B;A4;2000;2001
24337;"Astra 1.6i Edition";B;H5;2001;2002
24336;"Astra 1.6i Edition";B;A4;2001;2002
26700;"Astra 1.6i Njoy";B;H5;2002;2004
26700;"Astra 1.6i Njoy";B;H5;2002;2004
26699;"Astra 1.6i Njoy";B;A4;2002;2004
21381;"Astra 1.6i Sport";B;H5;2000;2001
23453;"Astra 1.6i Sport Edition";B;H5;2001;2002
23453;"Astra 1.6i Sport Edition";B;H5;2001;2002
26686;"Astra 1.6i Sport Edition II";B;H5;2002;2002
16937;"Astra 1.6i-16V GL";B;H5;1998;2000
16938;"Astra 1.6i-16V GL";B;A4;1998;2000
16938;"Astra 1.6i-16V GL";B;A4;1998;2000
16939;"Astra 1.6i-16V Club";B;H5;1998;2000
16940;"Astra 1.6i-16V Club";B;A4;1998;2000
16941;"Astra 1.6i-16V Sport";B;H5;1998;2000
16941;"Astra 1.6i-16V Sport";B;H5;1998;2000
18796;"Astra 1.6i-16V Pearl";B;H5;1999;2000
18797;"Astra 1.6i-16V Diamond";B;H5;1999;2000
21382;"Astra 1.6i-16V GL";B;H5;2000;2004
21382;"Astra 1.6i-16V GL";B;H5;2000;2004
21383;"Astra 1.6i-16V GL";B;A4;2000;2004
21384;"Astra 1.6i-16V Comfort";B;H5;2000;2001
21385;"Astra 1.6i-16V Comfort";B;A4;2000;2001
21385;"Astra 1.6i-16V Comfort";B;A4;2000;2001
21386;"Astra 1.6i-16V Pearl";B;H5;2000;2001
21387;"Astra 1.6i-16V Pearl";B;A4;2000;2001
24339;"Astra 1.6i-16V Edition";B;H5;2001;2002
24339;"Astra 1.6i-16V Edition";B;H5;2001;2002
24338;"Astra 1.6i-16V Edition";B;A4;2001;2002
26702;"Astra 1.6i-16V Njoy";B;H5;2002;2004
26701;"Astra 1.6i-16V Njoy";B;A4;2002;2004
26701;"Astra 1.6i-16V Njoy";B;A4;2002;2004
21388;"Astra 1.6i-16V Sport";B;H5;2000;2001
23454;"Astra 1.6i-16V Sport Edition";B;H5;2001;2002
26681;"Astra 1.6i-16V Sport Edition II";B;H5;2002;2004
26681;"Astra 1.6i-16V Sport Edition II";B;H5;2002;2004
16942;"Astra 1.8i-16V Club";B;H5;1998;2000
16943;"Astra 1.8i-16V Club";B;A4;1998;2000
16944;"Astra 1.8i-16V Sport";B;H5;1998;2000
16944;"Astra 1.8i-16V Sport";B;H5;1998;2000
21389;"Astra 1.8i-16V Comfort";B;H5;2000;2001
21390;"Astra 1.8i-16V Comfort";B;A4;2000;2001
21391;"Astra 1.8i-16V Pearl";B;H5;2000;2001
21391;"Astra 1.8i-16V Pearl";B;H5;2000;2001
21392;"Astra 1.8i-16V Pearl";B;A4;2000;2001
24341;"Astra 1.8i-16V Edition";B;H5;2001;2002
24340;"Astra 1.8i-16V Edition";B;A4;2001;2002
24340;"Astra 1.8i-16V Edition";B;A4;2001;2002
26704;"Astra 1.8i-16V Njoy";B;H5;2002;2004
26703;"Astra 1.8i-16V Njoy";B;A4;2002;2004
21393;"Astra 1.8i-16V Sport";B;H5;2000;2001
21393;"Astra 1.8i-16V Sport";B;H5;2000;2001
23455;"Astra 1.8i-16V Sport Edition";B;H5;2001;2002
26682;"Astra 1.8i-16V Sport Edition II";B;H5;2002;2004
16945;"Astra 2.0i-16V Club";B;H5;1998;2000
16945;"Astra 2.0i-16V Club";B;H5;1998;2000
16946;"Astra 2.0i-16V Club";B;A4;1998;2000
16947;"Astra 2.0i-16V Sport";B;H5;1998;2000
18798;"Astra 2.0i-16V Diamond";B;H5;1999;2000
18798;"Astra 2.0i-16V Diamond";B;H5;1999;2000
21394;"Astra 2.0i-16V OPC";B;H5;2000;2000
21395;"Astra 2.2i-16V Comfort";B;H5;2000;2001
21396;"Astra 2.2i-16V Comfort";B;A4;2000;2001
21396;"Astra 2.2i-16V Comfort";B;A4;2000;2001
