id;pikk_mudel;kytus;kaigukast;alates;kuni
71205;"Astra Sports Tourer 1.4 100pk S/S Berlin";B;H5;2013;heden
69210;"Astra Sports Tourer 1.4 100pk S/S Edition";B;H5;2012;2013
69267;"Astra Sports Tourer 1.4 100pk S/S Business+";B;H5;2012;heden
69267;"Astra Sports Tourer 1.4 100pk S/S Business+";B;H5;2012;heden
71206;"Astra Sports Tourer 1.4 100pk S/S Design Edition";B;H5;2013;heden
69209;"Astra Sports Tourer 1.4 100pk S/S Cosmo";B;H5;2012;heden
70455;"Astra Sports Tourer 1.4 Turbo 120pk S/S Rhythm";B;H6;2012;2013
70455;"Astra Sports Tourer 1.4 Turbo 120pk S/S Rhythm";B;H6;2012;2013
71207;"Astra Sports Tourer 1.4 Turbo 120pk S/S Berlin";B;H6;2013;heden
69214;"Astra Sports Tourer 1.4 Turbo 120pk S/S Edition";B;H6;2012;2013
69275;"Astra Sports Tourer 1.4 Turbo 120pk S/S Business+";B;H6;2012;heden
69275;"Astra Sports Tourer 1.4 Turbo 120pk S/S Business+";B;H6;2012;heden
71208;"Astra Sports Tourer 1.4 Turbo 120pk S/S Design Edi";B;H6;2013;heden
69213;"Astra Sports Tourer 1.4 Turbo 120pk S/S Cosmo";B;H6;2012;heden
69212;"Astra Sports Tourer 1.4 Turbo 120pk S/S Sport";B;H6;2012;heden
69212;"Astra Sports Tourer 1.4 Turbo 120pk S/S Sport";B;H6;2012;heden
69217;"Astra Sports Tourer 1.4 Turbo 140pk S/S Edition";B;H6;2012;2013
69269;"Astra Sports Tourer 1.4 Turbo 140pk S/S Business+";B;H6;2012;heden
71209;"Astra Sports Tourer 1.4 Turbo 140pk S/S Design Edi";B;H6;2013;heden
71209;"Astra Sports Tourer 1.4 Turbo 140pk S/S Design Edi";B;H6;2013;heden
69216;"Astra Sports Tourer 1.4 Turbo 140pk S/S Cosmo";B;H6;2012;heden
69215;"Astra Sports Tourer 1.4 Turbo 140pk S/S Sport";B;H6;2012;heden
69220;"Astra Sports Tourer 1.4 Turbo 140pk Edition";B;A6;2012;2013
69220;"Astra Sports Tourer 1.4 Turbo 140pk Edition";B;A6;2012;2013
71210;"Astra Sports Tourer 1.4 Turbo 140pk Design Edition";B;A6;2013;heden
69219;"Astra Sports Tourer 1.4 Turbo 140pk Cosmo";B;A6;2012;heden
69218;"Astra Sports Tourer 1.4 Turbo 140pk Sport";B;A6;2012;heden
69218;"Astra Sports Tourer 1.4 Turbo 140pk Sport";B;A6;2012;heden
69226;"Astra Sports Tourer 1.4 Turbo 140pk Bi-Fuel Editio";B;H6;2012;2013
69268;"Astra Sports Tourer 1.4 Turbo 140pk Bi-Fuel Busine";B;H6;2012;heden
71211;"Astra Sports Tourer 1.4 Turbo 140pk Bi-Fuel Design";B;H6;2013;heden
71211;"Astra Sports Tourer 1.4 Turbo 140pk Bi-Fuel Design";B;H6;2013;heden
69225;"Astra Sports Tourer 1.4 Turbo 140pk Bi-Fuel Cosmo";B;H6;2012;heden
69224;"Astra Sports Tourer 1.6 Turbo Cosmo";B;H6;2012;2013
69223;"Astra Sports Tourer 1.6 Turbo Cosmo";B;A6;2012;2013
69223;"Astra Sports Tourer 1.6 Turbo Cosmo";B;A6;2012;2013
69222;"Astra Sports Tourer 1.6 Turbo Sport";B;H6;2012;2013
69221;"Astra Sports Tourer 1.6 Turbo Sport";B;A6;2012;2013
73208;"Astra Sports Tourer 1.6 Turbo Design Edition";B;H6;2013;heden
73208;"Astra Sports Tourer 1.6 Turbo Design Edition";B;H6;2013;heden
73211;"Astra Sports Tourer 1.6 Turbo Design Edition";B;A6;2013;heden
73209;"Astra Sports Tourer 1.6 Turbo Cosmo";B;H6;2013;heden
73212;"Astra Sports Tourer 1.6 Turbo Cosmo";B;A6;2013;heden
73212;"Astra Sports Tourer 1.6 Turbo Cosmo";B;A6;2013;heden
73210;"Astra Sports Tourer 1.6 Turbo Sport";B;H6;2013;heden
73213;"Astra Sports Tourer 1.6 Turbo Sport";B;A6;2013;heden
69228;"Astra Sports Tourer 1.3 CDTI ecoFLEX Edition";D;H5;2012;2013
69228;"Astra Sports Tourer 1.3 CDTI ecoFLEX Edition";D;H5;2012;2013
69266;"Astra Sports Tourer 1.3 CDTI ecoFLEX Business+";D;H5;2012;2013
69227;"Astra Sports Tourer 1.3 CDTI ecoFLEX Cosmo";D;H5;2012;2013
69230;"Astra Sports Tourer 1.7 CDTI 110pk ecoFLEX Edition";D;H6;2012;2013
69230;"Astra Sports Tourer 1.7 CDTI 110pk ecoFLEX Edition";D;H6;2012;2013
69270;"Astra Sports Tourer 1.7 CDTI 110pk ecoFLEX Busines";D;H6;2012;heden
71212;"Astra Sports Tourer 1.7 CDTI 110pk ecoFLEX Design ";D;H6;2013;heden
69229;"Astra Sports Tourer 1.7 CDTI 110pk ecoFLEX Cosmo";D;H6;2012;heden
69229;"Astra Sports Tourer 1.7 CDTI 110pk ecoFLEX Cosmo";D;H6;2012;heden
69232;"Astra Sports Tourer 1.7 CDTI 130pk ecoFLEX Edition";D;H6;2012;2013
71361;"Astra Sports Tourer 1.7 CDTI 130pk ecoFLEX Busines";D;H6;2013;2014
71213;"Astra Sports Tourer 1.7 CDTI 130pk ecoFLEX Design ";D;H6;2013;2014
71213;"Astra Sports Tourer 1.7 CDTI 130pk ecoFLEX Design ";D;H6;2013;2014
69231;"Astra Sports Tourer 1.7 CDTI 130pk ecoFLEX Cosmo";D;H6;2012;2014
76095;"Astra Sports Tourer 1.6 CDTI 136pk ecoFLEX Busines";D;H6;2014;heden
76096;"Astra Sports Tourer 1.6 CDTI 136pk ecoFLEX Design ";D;H6;2014;heden
76096;"Astra Sports Tourer 1.6 CDTI 136pk ecoFLEX Design ";D;H6;2014;heden
76097;"Astra Sports Tourer 1.6 CDTI 136pk ecoFLEX Cosmo";D;H6;2014;heden
76098;"Astra Sports Tourer 1.6 CDTI 136pk ecoFLEX Sport";D;H6;2014;heden
69238;"Astra Sports Tourer 2.0 CDTI 165pk Edition";D;H6;2012;2013
69238;"Astra Sports Tourer 2.0 CDTI 165pk Edition";D;H6;2012;2013
69237;"Astra Sports Tourer 2.0 CDTI 165pk Edition";D;A6;2012;2013
71214;"Astra Sports Tourer 2.0 CDTI 165pk Design Edition";D;H6;2013;heden
71215;"Astra Sports Tourer 2.0 CDTI 165pk Design Edition";D;A6;2012;heden
71215;"Astra Sports Tourer 2.0 CDTI 165pk Design Edition";D;A6;2012;heden
69236;"Astra Sports Tourer 2.0 CDTI 165pk Cosmo";D;H6;2012;heden
69235;"Astra Sports Tourer 2.0 CDTI 165pk Cosmo";D;A6;2012;heden
69234;"Astra Sports Tourer 2.0 CDTI 165pk Sport";D;H6;2012;heden
69234;"Astra Sports Tourer 2.0 CDTI 165pk Sport";D;H6;2012;heden
69233;"Astra Sports Tourer 2.0 CDTI 165pk Sport";D;A6;2012;heden
71216;"Astra Sports Tourer 2.0 CDTI Bi-Turbo";D;H6;2012;heden
