id;pikk_mudel;kytus;kaigukast;alates;kuni
29837;"Corsa 1.0-12V Essentia";B;H5;2003;2006
29839;"Corsa 1.0-12V Essentia";B;A5;2003;2006
34642;"Corsa 1.0-12V Rhythm";B;H5;2004;2005
34642;"Corsa 1.0-12V Rhythm";B;H5;2004;2005
34641;"Corsa 1.0-12V Rhythm";B;A5;2004;2005
31095;"Corsa 1.0-12V Eco";B;A5;2004;2005
29858;"Corsa 1.0-12V Enjoy";B;H5;2003;2005
29858;"Corsa 1.0-12V Enjoy";B;H5;2003;2005
29857;"Corsa 1.0-12V Enjoy";B;A5;2003;2005
31097;"Corsa 1.0-12V Maxx";B;H5;2004;2005
33473;"Corsa 1.0-12V Maxx";B;A5;2004;2005
33473;"Corsa 1.0-12V Maxx";B;A5;2004;2005
34658;"Corsa 1.0-12V Full Rhythm";B;H5;2005;2005
34657;"Corsa 1.0-12V Full Rhythm";B;A5;2005;2005
37079;"Corsa 1.0-12V Silverline";B;H5;2005;2006
37079;"Corsa 1.0-12V Silverline";B;H5;2005;2006
37078;"Corsa 1.0-12V Silverline";B;A5;2005;2006
29875;"Corsa 1.0-12V Sport";B;H5;2003;2004
29874;"Corsa 1.0-12V Sport";B;A5;2003;2004
29874;"Corsa 1.0-12V Sport";B;A5;2003;2004
29895;"Corsa 1.0-12V Cosmo";B;H5;2003;2004
29894;"Corsa 1.0-12V Cosmo";B;A5;2003;2004
29842;"Corsa 1.2-16V Essentia";B;H5;2003;2004
29842;"Corsa 1.2-16V Essentia";B;H5;2003;2004
29841;"Corsa 1.2-16V Essentia";B;A5;2003;2004
29861;"Corsa 1.2-16V Enjoy";B;H5;2003;2004
29860;"Corsa 1.2-16V Enjoy";B;A5;2003;2004
29860;"Corsa 1.2-16V Enjoy";B;A5;2003;2004
31099;"Corsa 1.2-16V Maxx";B;H5;2004;2004
29877;"Corsa 1.2-16V Sport";B;H5;2003;2004
29876;"Corsa 1.2-16V Sport";B;A5;2003;2004
29876;"Corsa 1.2-16V Sport";B;A5;2003;2004
29897;"Corsa 1.2-16V Cosmo";B;H5;2003;2004
29896;"Corsa 1.2-16V Cosmo";B;A5;2003;2004
33475;"Corsa 1.2-16V Essentia";B;H5;2004;2006
33475;"Corsa 1.2-16V Essentia";B;H5;2004;2006
33484;"Corsa 1.2-16V Essentia";B;A5;2004;2006
34644;"Corsa 1.2-16V Rhythm";B;H5;2004;2005
34643;"Corsa 1.2-16V Rhythm";B;A5;2004;2005
34643;"Corsa 1.2-16V Rhythm";B;A5;2004;2005
33483;"Corsa 1.2-16V Enjoy";B;H5;2004;2005
33482;"Corsa 1.2-16V Enjoy";B;A5;2004;2005
33481;"Corsa 1.2-16V Maxx";B;H5;2004;2005
33481;"Corsa 1.2-16V Maxx";B;H5;2004;2005
33480;"Corsa 1.2-16V Maxx";B;A5;2004;2005
34662;"Corsa 1.2-16V Full Rhythm";B;H5;2005;2005
34661;"Corsa 1.2-16V Full Rhythm";B;A5;2005;2005
34661;"Corsa 1.2-16V Full Rhythm";B;A5;2005;2005
37081;"Corsa 1.2-16V Silverline";B;H5;2005;2006
37080;"Corsa 1.2-16V Silverline";B;A5;2005;2006
33479;"Corsa 1.2-16V Sport";B;H5;2004;2005
33479;"Corsa 1.2-16V Sport";B;H5;2004;2005
33478;"Corsa 1.2-16V Sport";B;A5;2004;2005
33477;"Corsa 1.2-16V Cosmo";B;H5;2004;2005
33476;"Corsa 1.2-16V Cosmo";B;A5;2004;2005
33476;"Corsa 1.2-16V Cosmo";B;A5;2004;2005
29846;"Corsa 1.4-16V Essentia";B;H5;2003;2006
29845;"Corsa 1.4-16V Essentia";B;A5;2003;2006
34646;"Corsa 1.4-16V Rhythm";B;H5;2004;2005
34646;"Corsa 1.4-16V Rhythm";B;H5;2004;2005
34645;"Corsa 1.4-16V Rhythm";B;A5;2004;2005
29863;"Corsa 1.4-16V Enjoy";B;H5;2003;2005
