id;pikk_mudel;kytus;kaigukast;alates;kuni
59867;"Corsa 1.0 Selection";B;H5;2011;2013
59869;"Corsa 1.0 Edition";B;H5;2011;2012
68876;"Corsa 1.2 ecoFLEX Selection";B;H5;2012;2013
68876;"Corsa 1.2 ecoFLEX Selection";B;H5;2012;2013
59878;"Corsa 1.2 Selection";B;H5;2011;2011
59877;"Corsa 1.2 Selection";B;A6;2011;2012
76086;"Corsa 1.2 Business+";B;A6;2014;heden
76086;"Corsa 1.2 Business+";B;A6;2014;heden
59876;"Corsa 1.2 Edition";B;H5;2011;2011
59875;"Corsa 1.2 Edition";B;A6;2011;2012
64238;"Corsa 1.2 Anniversary Edition";B;A6;2012;2013
64238;"Corsa 1.2 Anniversary Edition";B;A6;2012;2013
71172;"Corsa 1.2 Design Edition";B;A6;2013;heden
59874;"Corsa 1.2 Color Edition";B;H5;2011;2011
59873;"Corsa 1.2 Color Edition";B;A6;2011;2014
59873;"Corsa 1.2 Color Edition";B;A6;2011;2014
59907;"Corsa 1.2 Connect Edition";B;H5;2011;2011
59908;"Corsa 1.2 Connect Edition";B;A6;2011;2012
59872;"Corsa 1.2 Cosmo";B;H5;2011;2011
59872;"Corsa 1.2 Cosmo";B;H5;2011;2011
59871;"Corsa 1.2 Cosmo";B;A6;2011;heden
70451;"Corsa 1.2 Start/Stop Rhythm";B;H5;2012;2013
71175;"Corsa 1.2 Start/Stop Berlin";B;H5;2013;heden
71175;"Corsa 1.2 Start/Stop Berlin";B;H5;2013;heden
62514;"Corsa 1.2 Start/Stop Selection";B;H5;2011;2012
76087;"Corsa 1.2 Start/Stop Business+";B;H5;2014;heden
62515;"Corsa 1.2 Start/Stop Edition";B;H5;2011;2012
62515;"Corsa 1.2 Start/Stop Edition";B;H5;2011;2012
64239;"Corsa 1.2 Start/Stop Anniversary Edition";B;H5;2012;2013
71176;"Corsa 1.2 Start/Stop Design Edition";B;H5;2013;heden
62516;"Corsa 1.2 Start/Stop Color Edition";B;H5;2011;2014
62516;"Corsa 1.2 Start/Stop Color Edition";B;H5;2011;2014
62517;"Corsa 1.2 Start/Stop Connect Edition";B;H5;2011;2012
62518;"Corsa 1.2 Start/Stop Cosmo";B;H5;2011;heden
61340;"Corsa 1.2 ecoFLEX Bi-Fuel Selection";B;H5;2011;2012
61340;"Corsa 1.2 ecoFLEX Bi-Fuel Selection";B;H5;2011;2012
76088;"Corsa 1.2 ecoFLEX Bi-Fuel Business+";B;H5;2014;heden
61341;"Corsa 1.2 ecoFLEX Bi-Fuel Edition";B;H5;2011;2012
64235;"Corsa 1.2 ecoFLEX Bi-Fuel Anniversary Edition";B;H5;2012;2013
64235;"Corsa 1.2 ecoFLEX Bi-Fuel Anniversary Edition";B;H5;2012;2013
71178;"Corsa 1.2 ecoFLEX Bi-Fuel Design Edition";B;H5;2013;heden
69963;"Corsa 1.2 ecoFLEX Bi-Fuel Rhythm";B;H5;2012;2013
63275;"Corsa 1.2 ecoFLEX Bi-Fuel Business Edition";B;H5;2011;2012
63275;"Corsa 1.2 ecoFLEX Bi-Fuel Business Edition";B;H5;2011;2012
61342;"Corsa 1.2 ecoFLEX Bi-Fuel Color Edition";B;H5;2011;2014
61343;"Corsa 1.2 ecoFLEX Bi-Fuel Connect Edition";B;H5;2011;2012
61344;"Corsa 1.2 ecoFLEX Bi-Fuel Cosmo";B;H5;2011;heden
61344;"Corsa 1.2 ecoFLEX Bi-Fuel Cosmo";B;H5;2011;heden
59892;"Corsa 1.4 Edition";B;H5;2011;2011
59891;"Corsa 1.4 Edition";B;A4;2011;2012
64240;"Corsa 1.4 Anniversary Edition";B;A4;2012;2013
64240;"Corsa 1.4 Anniversary Edition";B;A4;2012;2013
71180;"Corsa 1.4 Design Edition";B;A4;2013;2014
59890;"Corsa 1.4 Color Edition";B;H5;2011;2011
59889;"Corsa 1.4 Color Edition";B;A4;2011;2013
59889;"Corsa 1.4 Color Edition";B;A4;2011;2013
59909;"Corsa 1.4 Connect Edition";B;H5;2011;2011
59910;"Corsa 1.4 Connect Edition";B;A4;2011;2012
59894;"Corsa 1.4 Cosmo";B;H5;2011;2011
59894;"Corsa 1.4 Cosmo";B;H5;2011;2011
59893;"Corsa 1.4 Cosmo";B;A4;2011;2014
74191;"Corsa 1.4 Start/Stop Berlin";B;H5;2013;heden
76089;"Corsa 1.4 Start/Stop Business+";B;H5;2014;heden
76089;"Corsa 1.4 Start/Stop Business+";B;H5;2014;heden
62519;"Corsa 1.4 Start/Stop Edition";B;H5;2011;2012
64241;"Corsa 1.4 Start/Stop Anniversary Edition";B;H5;2012;2013
71182;"Corsa 1.4 Start/Stop Design Edition";B;H5;2013;heden
71182;"Corsa 1.4 Start/Stop Design Edition";B;H5;2013;heden
62520;"Corsa 1.4 Start/Stop Color Edition";B;H5;2011;2014
62521;"Corsa 1.4 Start/Stop Connect Edition";B;H5;2011;2012
62522;"Corsa 1.4 Start/Stop Cosmo";B;H5;2011;heden
62522;"Corsa 1.4 Start/Stop Cosmo";B;H5;2011;heden
68871;"Corsa 1.4 Turbo Start/Stop Color Edition";B;H5;2012;2014
68872;"Corsa 1.4 Turbo Start/Stop Cosmo";B;H5;2012;2014
59911;"Corsa 1.6 Turbo Color Edition";B;H5;2011;2012
59911;"Corsa 1.6 Turbo Color Edition";B;H5;2011;2012
59895;"Corsa OPC";B;H6;2011;2012
62523;"Corsa OPC N&uuml;rburgring Edition";B;H6;2011;heden
59897;"Corsa 1.3 CDTI Selection";D;H5;2011;2012
59897;"Corsa 1.3 CDTI Selection";D;H5;2011;2012
59896;"Corsa 1.3 CDTI Edition";D;H5;2011;2012
59902;"Corsa 1.3 CDTI ecoFLEX Selection";D;H5;2011;2012
59901;"Corsa 1.3 CDTI ecoFLEX Edition";D;H5;2011;2012
59901;"Corsa 1.3 CDTI ecoFLEX Edition";D;H5;2011;2012
64236;"Corsa 1.3 CDTI ecoFLEX Anniversary Edition";D;H5;2012;2012
63276;"Corsa 1.3 CDTI ecoFLEX Business Edition";D;H5;2011;2012
59916;"Corsa 1.3 CDTI ecoFLEX Connect Edition";D;H5;2011;2012
59916;"Corsa 1.3 CDTI ecoFLEX Connect Edition";D;H5;2011;2012
59900;"Corsa 1.3 CDTI ecoFLEX Cosmo";D;H5;2011;2012
68874;"Corsa 1.3 CDTI ecoFLEX Selection";D;H5;2012;2013
69116;"Corsa 1.3 CDTI ecoFLEX Business+";D;H5;2012;heden
69116;"Corsa 1.3 CDTI ecoFLEX Business+";D;H5;2012;heden
68873;"Corsa 1.3 CDTI ecoFLEX Anniversary Edition";D;H5;2012;2013
71184;"Corsa 1.3 CDTI ecoFLEX Design Edition";D;H5;2013;heden
68875;"Corsa 1.3 CDTI ecoFLEX Cosmo";D;H5;2012;heden
68875;"Corsa 1.3 CDTI ecoFLEX Cosmo";D;H5;2012;heden
