id;pikk_mudel;kytus;kaigukast;alates;kuni
11915;"Frontera Sport 2.0i Softtop";B;H5;1995;1996
13319;"Frontera Sport 2.0i GL Hardtop";B;H5;1996;1998
11916;"Frontera Sport 2.0i GLS Hardtop";B;H5;1995;1998
11916;"Frontera Sport 2.0i GLS Hardtop";B;H5;1995;1998
17073;"Frontera Sport 2.0i Arizona Hardtop";B;H5;1998;1998
13320;"Frontera Sport 2.5 TDS GL Hardtop";D;H5;1996;1998
13321;"Frontera Sport 2.5 TDS GLS Hardtop";D;H5;1996;1998
13321;"Frontera Sport 2.5 TDS GLS Hardtop";D;H5;1996;1998
11917;"Frontera Sport 2.8 TDi Softtop";D;H5;1995;1996
11918;"Frontera Sport 2.8 TDi Hardtop";D;H5;1995;1996
