id;pikk_mudel;kytus;kaigukast;alates;kuni
76154;"Insignia 1.4 Turbo ecoFLEX Business+";B;H6;2014;heden
74244;"Insignia 1.4 Turbo ecoFLEX Edition";B;H6;2013;heden
74249;"Insignia 1.4 Turbo ecoFLEX Cosmo";B;H6;2013;heden
74249;"Insignia 1.4 Turbo ecoFLEX Cosmo";B;H6;2013;heden
76155;"Insignia 1.4 Turbo ecoFLEX Bi-Fuel Business+";B;H6;2014;heden
74254;"Insignia 1.4 Turbo ecoFLEX Bi-Fuel Edition";B;H6;2013;heden
74253;"Insignia 1.4 Turbo ecoFLEX Bi-Fuel Cosmo";B;H6;2013;heden
74253;"Insignia 1.4 Turbo ecoFLEX Bi-Fuel Cosmo";B;H6;2013;heden
76156;"Insignia 1.6 Turbo Business+";B;H6;2014;heden
76157;"Insignia 1.6 Turbo Business+";B;A6;2014;heden
74264;"Insignia 1.6 Turbo Edition";B;H6;2013;heden
74264;"Insignia 1.6 Turbo Edition";B;H6;2013;heden
74263;"Insignia 1.6 Turbo Edition";B;A6;2013;heden
74262;"Insignia 1.6 Turbo Cosmo";B;H6;2013;heden
74261;"Insignia 1.6 Turbo Cosmo";B;A6;2013;heden
74261;"Insignia 1.6 Turbo Cosmo";B;A6;2013;heden
74272;"Insignia 2.0 Turbo 250pk 4x4 Cosmo";B;H6;2013;heden
74271;"Insignia 2.0 Turbo 250pk 4x4 Cosmo";B;A6;2013;heden
75284;"Insignia 2.8 V6 Turbo 4x4 OPC";B;H6;2013;heden
75284;"Insignia 2.8 V6 Turbo 4x4 OPC";B;H6;2013;heden
75285;"Insignia 2.8 V6 Turbo 4x4 OPC";B;A6;2013;heden
76158;"Insignia 2.0 CDTI 120pk EcoFLEX Business+";D;H6;2014;heden
74278;"Insignia 2.0 CDTI 120pk EcoFLEX Edition";D;H6;2013;heden
74278;"Insignia 2.0 CDTI 120pk EcoFLEX Edition";D;H6;2013;heden
74277;"Insignia 2.0 CDTI 120pk EcoFLEX Cosmo";D;H6;2013;heden
74284;"Insignia 2.0 CDTI 130pk Edition";D;A6;2013;heden
74283;"Insignia 2.0 CDTI 130pk Cosmo";D;A6;2013;heden
74283;"Insignia 2.0 CDTI 130pk Cosmo";D;A6;2013;heden
76159;"Insignia 2.0 CDTI 140pk EcoFLEX Business+";D;H6;2014;heden
74294;"Insignia 2.0 CDTI 140pk EcoFLEX Edition";D;H6;2013;heden
74293;"Insignia 2.0 CDTI 140pk EcoFLEX Cosmo";D;H6;2013;heden
74293;"Insignia 2.0 CDTI 140pk EcoFLEX Cosmo";D;H6;2013;heden
74292;"Insignia 2.0 CDTI Bi-Turbo Cosmo";D;H6;2013;heden
74291;"Insignia 2.0 CDTI Bi-Turbo 4x4 Cosmo";D;A6;2013;heden
