id;pikk_mudel;kytus;kaigukast;alates;kuni
1269;"Kadett 1.2 S LS";B;H4;1984;1988
1270;"Kadett 1.2 S GL";B;H4;1984;1988
2057;"Kadett 1.3 N LS";B;H4;1985;1987
2057;"Kadett 1.3 N LS";B;H4;1985;1987
2058;"Kadett 1.3 N GL";B;H4;1985;1987
2059;"Kadett 1.3 N GLS";B;H4;1985;1987
2870;"Kadett 1.3 NE LS";B;H4;1986;1989
2870;"Kadett 1.3 NE LS";B;H4;1986;1989
2871;"Kadett 1.3 NE LS";B;A3;1986;1989
2872;"Kadett 1.3 NE GL";B;H4;1986;1989
2873;"Kadett 1.3 NE GL";B;A3;1986;1989
2873;"Kadett 1.3 NE GL";B;A3;1986;1989
3911;"Kadett 1.3i LS";B;H4;1987;1989
3912;"Kadett 1.3i GL";B;H4;1987;1989
1271;"Kadett 1.3 S LS";B;H4;1984;1988
1271;"Kadett 1.3 S LS";B;H4;1984;1988
1272;"Kadett 1.3 S LS";B;A3;1984;1988
1273;"Kadett 1.3 S GL";B;H4;1984;1988
1274;"Kadett 1.3 S GL";B;A3;1984;1988
1274;"Kadett 1.3 S GL";B;A3;1984;1988
1275;"Kadett 1.3 S GLS";B;H4;1984;1987
1276;"Kadett 1.3 S GLS";B;A3;1984;1987
1277;"Kadett 1.3 S GT";B;H4;1984;1988
1277;"Kadett 1.3 S GT";B;H4;1984;1988
3913;"Kadett 1.6i LS";B;H4;1987;1989
3914;"Kadett 1.6i LS";B;A3;1987;1989
3915;"Kadett 1.6i GL";B;H4;1987;1989
3915;"Kadett 1.6i GL";B;H4;1987;1989
3916;"Kadett 1.6i GL";B;A3;1987;1989
3917;"Kadett 1.6i GT";B;H5;1987;1989
3918;"Kadett 1.6i LS";B;H4;1987;1989
3918;"Kadett 1.6i LS";B;H4;1987;1989
3919;"Kadett 1.6i LS";B;A3;1987;1989
3920;"Kadett 1.6i GL";B;H4;1987;1989
3921;"Kadett 1.6i GL";B;A3;1987;1989
3921;"Kadett 1.6i GL";B;A3;1987;1989
3922;"Kadett 1.6i GT";B;H5;1987;1989
1278;"Kadett 1.6 S LS";B;H4;1984;1986
1279;"Kadett 1.6 S LS";B;A3;1984;1986
1279;"Kadett 1.6 S LS";B;A3;1984;1986
1280;"Kadett 1.6 S GL";B;H4;1984;1986
1281;"Kadett 1.6 S GL";B;A3;1984;1986
1282;"Kadett 1.6 S GLS";B;H4;1984;1986
1282;"Kadett 1.6 S GLS";B;H4;1984;1986
1283;"Kadett 1.6 S GLS";B;A3;1984;1986
1284;"Kadett 1.6 S GT";B;H5;1984;1986
2874;"Kadett 1.6 S LS";B;H4;1986;1987
2874;"Kadett 1.6 S LS";B;H4;1986;1987
2875;"Kadett 1.6 S LS";B;A3;1986;1987
2876;"Kadett 1.6 S GL";B;H4;1986;1987
2877;"Kadett 1.6 S GL";B;A3;1986;1987
2877;"Kadett 1.6 S GL";B;A3;1986;1987
2878;"Kadett 1.6 S GLS";B;H4;1986;1987
2879;"Kadett 1.6 S GLS";B;A3;1986;1987
2880;"Kadett 1.6 S GT";B;H5;1986;1987
2880;"Kadett 1.6 S GT";B;H5;1986;1987
3923;"Kadett 1.8 S LS";B;H5;1987;1989
3924;"Kadett 1.8 S LS";B;A3;1987;1989
3925;"Kadett 1.8 S GL";B;H5;1987;1989
3925;"Kadett 1.8 S GL";B;H5;1987;1989
3926;"Kadett 1.8 S GL";B;A3;1987;1989
3927;"Kadett 1.8 S GT";B;H5;1987;1989
2881;"Kadett 1.8i GT";B;H5;1986;1989
2881;"Kadett 1.8i GT";B;H5;1986;1989
1285;"Kadett 1.8 GSi";B;H5;1984;1986
2882;"Kadett 2.0 GSi";B;H5;1986;1989
2883;"Kadett 2.0 GSi";B;H5;1986;1989
2883;"Kadett 2.0 GSi";B;H5;1986;1989
4556;"Kadett 2.0 GSi 16V";B;H5;1988;1989
1286;"Kadett 1.6 D LS";D;H5;1984;1989
2060;"Kadett 1.6 D LS";D;A3;1985;1989
2060;"Kadett 1.6 D LS";D;A3;1985;1989
1287;"Kadett 1.6 D GL";D;H5;1984;1989
2061;"Kadett 1.6 D GL";D;A3;1985;1989
2062;"Kadett 1.6 D GLS";D;H5;1985;1987
2062;"Kadett 1.6 D GLS";D;H5;1985;1987
2063;"Kadett 1.6 D GLS";D;A3;1985;1987
4557;"Kadett 1.5 TD LS";D;H5;1988;1989
4558;"Kadett 1.5 TD GL";D;H5;1988;1989
4558;"Kadett 1.5 TD GL";D;H5;1988;1989
