id;pikk_mudel;kytus;kaigukast;alates;kuni
38846;"Manta 1.3 S GT/J";B;H4;1980;1982
38844;"Manta 1.3 S De Luxe";B;H4;1980;1982
38854;"Manta 1.6 S GT/J";B;H4;1975;1982
38854;"Manta 1.6 S GT/J";B;H4;1975;1982
38852;"Manta 1.6 S De Luxe";B;H4;1975;1982
38862;"Manta 1.9 N GT/J";B;H4;1977;1982
38860;"Manta 1.9 N De Luxe";B;H4;1977;1982
38860;"Manta 1.9 N De Luxe";B;H4;1977;1982
38870;"Manta 2.0 N GT/J";B;H4;1981;1982
38864;"Manta 2.0 N De Luxe";B;H4;1978;1982
38866;"Manta 2.0 N De Luxe SR";B;H4;1978;1982
38866;"Manta 2.0 N De Luxe SR";B;H4;1978;1982
38868;"Manta 2.0 N Berlinetta";B;H4;1978;1982
38878;"Manta 2.0 S GT/J";B;H4;1977;1982
38872;"Manta 2.0 S De Luxe";B;H4;1977;1982
38872;"Manta 2.0 S De Luxe";B;H4;1977;1982
38874;"Manta 2.0 S De Luxe SR";B;H4;1977;1982
38876;"Manta 2.0 S Berlinetta";B;H4;1977;1982
38882;"Manta 2.0 E De Luxe SR";B;H4;1977;1982
38882;"Manta 2.0 E De Luxe SR";B;H4;1977;1982
38884;"Manta 2.0 E Berlinetta";B;H4;1977;1982
38880;"Manta 2.0 E GT/E";B;H4;1977;1982
