id;pikk_mudel;kytus;kaigukast;alates;kuni
19083;"Omega 2.2i-16V";B;H5;1999;2000
19084;"Omega 2.2i-16V";B;A4;1999;2000
23498;"Omega 2.2i-16V Business Edition";B;H5;2001;2003
23498;"Omega 2.2i-16V Business Edition";B;H5;2001;2003
23499;"Omega 2.2i-16V Business Edition";B;A4;2001;2003
26754;"Omega 2.2i-16V Onyx Edition";B;H5;2002;2003
26753;"Omega 2.2i-16V Onyx Edition";B;A4;2002;2003
26753;"Omega 2.2i-16V Onyx Edition";B;A4;2002;2003
21656;"Omega 2.2i-16V Comfort";B;H5;2000;2001
21657;"Omega 2.2i-16V Comfort";B;A4;2000;2001
19085;"Omega 2.2i-16V Elegance";B;H5;1999;2002
19085;"Omega 2.2i-16V Elegance";B;H5;1999;2002
19086;"Omega 2.2i-16V Elegance";B;A4;1999;2002
19087;"Omega 2.2i-16V Sport";B;H5;1999;2002
19088;"Omega 2.2i-16V Sport";B;A4;1999;2002
19088;"Omega 2.2i-16V Sport";B;A4;1999;2002
25275;"Omega 2.2i-16V Executive Edition";B;H5;2002;2003
25274;"Omega 2.2i-16V Executive Edition";B;A4;2002;2003
19089;"Omega 2.5i-V6";B;H5;1999;2000
19089;"Omega 2.5i-V6";B;H5;1999;2000
19090;"Omega 2.5i-V6";B;A4;1999;2000
19091;"Omega 2.5i-V6 Elegance";B;H5;1999;2000
19092;"Omega 2.5i-V6 Elegance";B;A4;1999;2000
19092;"Omega 2.5i-V6 Elegance";B;A4;1999;2000
19093;"Omega 2.5i-V6 Sport";B;H5;1999;2000
19094;"Omega 2.5i-V6 Sport";B;A4;1999;2000
19095;"Omega 2.5i-V6 Executive";B;H5;1999;2000
19095;"Omega 2.5i-V6 Executive";B;H5;1999;2000
19096;"Omega 2.5i-V6 Executive";B;A4;1999;2000
21658;"Omega 2.6i-V6 Comfort";B;H5;2000;2001
21659;"Omega 2.6i-V6 Comfort";B;A4;2000;2001
21659;"Omega 2.6i-V6 Comfort";B;A4;2000;2001
21660;"Omega 2.6i-V6 Business Edition";B;H5;2002;2003
25279;"Omega 2.6i-V6 Business Edition";B;A4;2002;2003
26756;"Omega 2.6i-V6 Onyx Edition";B;H5;2002;2003
26756;"Omega 2.6i-V6 Onyx Edition";B;H5;2002;2003
26755;"Omega 2.6i-V6 Onyx Edition";B;A4;2002;2003
25278;"Omega 2.6i-V6 Elegance";B;H5;2000;2002
21661;"Omega 2.6i-V6 Elegance";B;A4;2000;2002
21661;"Omega 2.6i-V6 Elegance";B;A4;2000;2002
21662;"Omega 2.6i-V6 Sport";B;H5;2000;2002
21663;"Omega 2.6i-V6 Sport";B;A4;2000;2002
21664;"Omega 2.6i-V6 Executive";B;H5;2000;2002
21664;"Omega 2.6i-V6 Executive";B;H5;2000;2002
21665;"Omega 2.6i-V6 Executive";B;A4;2000;2002
25277;"Omega 2.6i-V6 Executive Edition";B;H5;2002;2003
25276;"Omega 2.6i-V6 Executive Edition";B;A4;2002;2003
25276;"Omega 2.6i-V6 Executive Edition";B;A4;2002;2003
19097;"Omega 3.0i-V6 Sport";B;H5;1999;2001
19098;"Omega 3.0i-V6 Sport";B;A4;1999;2001
19099;"Omega 3.0i-V6 Executive";B;H5;1999;2001
19099;"Omega 3.0i-V6 Executive";B;H5;1999;2001
19100;"Omega 3.0i-V6 Executive";B;A4;1999;2001
23500;"Omega 3.2i-V6 Sport";B;A4;2001;2002
23501;"Omega 3.2i-V6 Executive";B;A4;2001;2002
23501;"Omega 3.2i-V6 Executive";B;A4;2001;2002
25280;"Omega 3.2i-V6 Executive Edition";B;A4;2002;2003
19101;"Omega 2.0 DTi-16V";D;H5;1999;2000
19102;"Omega 2.0 DTi-16V Elegance";D;H5;1999;2000
19102;"Omega 2.0 DTi-16V Elegance";D;H5;1999;2000
23502;"Omega 2.2 DTi-16V Business Edition";D;H5;2001;2003
26757;"Omega 2.2 DTi-16V Onyx Edition";D;H5;2002;2003
21666;"Omega 2.2 DTi-16V Comfort";D;H5;2000;2001
21666;"Omega 2.2 DTi-16V Comfort";D;H5;2000;2001
21667;"Omega 2.2 DTi-16V Elegance";D;H5;2000;2002
21668;"Omega 2.2 DTi-16V Sport";D;H5;2000;2002
21669;"Omega 2.2 DTi-16V Executive";D;H5;2000;2002
21669;"Omega 2.2 DTi-16V Executive";D;H5;2000;2002
25281;"Omega 2.2 DTi-16V Executive Edition";D;H5;2002;2003
19103;"Omega 2.5 TD";D;H5;1999;2000
19104;"Omega 2.5 TD";D;A4;1999;2000
19104;"Omega 2.5 TD";D;A4;1999;2000
21670;"Omega 2.5 TD Comfort";D;H5;2000;2001
21671;"Omega 2.5 TD Comfort";D;A4;2000;2001
19105;"Omega 2.5 TD Elegance";D;H5;1999;2001
19105;"Omega 2.5 TD Elegance";D;H5;1999;2001
19106;"Omega 2.5 TD Elegance";D;A4;1999;2001
19107;"Omega 2.5 TD Sport";D;H5;1999;2001
19108;"Omega 2.5 TD Sport";D;A4;1999;2001
19108;"Omega 2.5 TD Sport";D;A4;1999;2001
19109;"Omega 2.5 TD Executive";D;H5;1999;2001
19110;"Omega 2.5 TD Executive";D;A4;1999;2001
24327;"Omega 2.5 DTi Business Edition";D;H5;2002;2003
24327;"Omega 2.5 DTi Business Edition";D;H5;2002;2003
25283;"Omega 2.5 DTi Business Edition";D;A4;2002;2003
26759;"Omega 2.5 DTi Onyx Edition";D;H5;2002;2003
26758;"Omega 2.5 DTi Onyx Edition";D;A4;2002;2003
26758;"Omega 2.5 DTi Onyx Edition";D;A4;2002;2003
25282;"Omega 2.5 DTi Elegance";D;H5;2001;2002
24326;"Omega 2.5 DTi Elegance";D;A4;2001;2002
24325;"Omega 2.5 DTi Sport";D;H5;2001;2002
24325;"Omega 2.5 DTi Sport";D;H5;2001;2002
24324;"Omega 2.5 DTi Sport";D;A4;2001;2002
24323;"Omega 2.5 DTi Executive Edition";D;H5;2002;2003
24322;"Omega 2.5 DTi Executive Edition";D;A4;2002;2003
24322;"Omega 2.5 DTi Executive Edition";D;A4;2002;2003
